TABLE 3. REPORTED LAND ACQUISITION EXPENDITURES FOR FY 2004 FOR ENDANGERED AND THREATENED SPECIES,,,,,,,,
,,,,,,,,
Rank,Species (50 CFR Part 17),Status,FWS Total,Other Fed,Fed Total,States Total,Species Total,Type
45,"Sea-lion, Steller (Eumetopiasjubatus)western pop.",E,"$225,000 ","$12,200 ","$237,200 ",$0 ,"$237,200 ",Mammals
102,"Whale, humpback (Megapteranovaeangliae)",E,$0 ,"$1,072 ","$1,072 ",$0 ,"$1,072 ",Mammals
70,"Wolf, gray (Canis lupus)Eastern Distinct Population Segment",T,$0 ,$0 ,$0 ,"$61,400 ","$61,400 ",Mammals
,Mammals Subtotal,,"$2,824,386 ","$11,068,184 ","$13,892,570 ","$575,000 ","$14,467,570 ",
,Mammals Subtotal Verified,,"$2,824,386 ","$11,068,184 ","$13,892,570 ","$575,000 ","$14,467,570 ",
,,,,,,,,
106,"Albatross, short-tailed (Phoebastria(=Diomedea) albatrus)",E,$0 ,$550 ,$550 ,$0 ,$550 ,Birds
2,"Eagle, bald (Haliaeetusleucocephalus)lower 48 States",T,"$1,679,451 ","$6,083,800 ","$7,763,251 ","$44,300 ","$7,807,551 ",Birds
16,"Flycatcher, southwestern willow(Empidonax traillii extimus)",E,"$517,250 ","$303,400 ","$820,650 ",$0 ,"$820,650 ",Birds
3,"Gnatcatcher, coastal California(Polioptila californica californica)",T,"$3,673,250 ","$80,000 ","$3,753,250 ",$0 ,"$3,753,250 ",Birds
115,"Jay, Florida scrub (Aphelocomacoerulescens)",T,$42 ,$0 ,$42 ,$0 ,$42 ,Birds
37,"Murrelet, marbled (Brachyramphusmarmoratus marmoratus)CA, OR, WA",T,"$354,720 ",$0 ,"$354,720 ","$5,500 ","$360,220 ",Birds
56,"Owl, northern spotted(Strix occidentalis caurina)",T,"$129,720 ",$0 ,"$129,720 ",$0 ,"$129,720 ",Birds
24,"Pelican, brown (Pelecanus occidentalis) except U.S. Atlantic coast, FL, AL",E,"$536,720 ",$0 ,"$536,720 ",$0 ,"$536,720 ",Birds
104,"Plover, piping(Charadrius melodus)Great Lakes watershed",E,$0 ,$0 ,$0 ,"$1,000 ","$1,000 ",Birds
96,"Plover, piping (Charadrius melodus)except Great Lakes watershed",T,"$10,500 ","$2,500 ","$13,000 ",$0 ,"$13,000 ",Birds
42,"Plover, western snowy(Charadrius alexandrinus nivosus)Pacific coastal pop.",T,"$129,720 ",$0 ,"$129,720 ","$150,000 ","$279,720 ",Birds
64,"Pygmy-owl, cactus ferruginous(Glaucidium brasilianum cactorum)AZ pop.",E,$0 ,"$115,000 ","$115,000 ",$0 ,"$115,000 ",Birds
52,"Stork, wood (Mycteria americana)AL, FL, GA, SC",E,"$175,517 ",$0 ,"$175,517 ",$0 ,"$175,517 ",Birds
11,"Vireo, black-capped (Vireoatricapilla)",E,"$982,200 ",$0 ,"$982,200 ",$0 ,"$982,200 ",Birds
19,"Vireo, least Bell's (Vireo belliipusillus)",E,"$517,250 ","$52,100 ","$569,350 ",$0 ,"$569,350 ",Birds
11,"Warbler (=wood), golden-cheeked(Dendroica chrysoparia)",E,"$982,200 ",$0 ,"$982,200 ",$0 ,"$982,200 ",Birds
7,"Woodpecker, red-cockaded(Picoides borealis)",E,"$1,901,000 ",$0 ,"$1,901,000 ","$31,500 ","$1,932,500 ",Birds
,Birds Subtotal,,"$11,589,540 ","$6,637,350 ","$18,226,890 ","$232,300 ","$18,459,190 ",
,Birds Subtotal Verified,,"$11,589,540 ","$6,637,350 ","$18,226,890 ","$232,300 ","$18,459,190 ",
,,,,,,,,
38,"Lizard, blunt-nosed leopard(Gambelia silus)",E,$0 ,"$352,000 ","$352,000 ",$0 ,"$352,000 ",Reptiles
57,"Sea turtle, green (Chelonia mydas)FL, Mexico nesting pops.",E,"$123,600 ",$264 ,"$123,864 ",$0 ,"$123,864 ",Reptiles
59,"Sea turtle, hawksbill(Eretmochelys imbricata)",E,"$123,600 ",$0 ,"$123,600 ",$0 ,"$123,600 ",Reptiles
59,"Sea turtle, Kemp's ridley(Lepidochelys kempii)",E,"$123,600 ",$0 ,"$123,600 ",$0 ,"$123,600 ",Reptiles
114,"Sea turtle, leatherback(Dermochelys coriacea)",E,$0 ,$264 ,$264 ,$0 ,$264 ,Reptiles
57,"Sea turtle, loggerhead(Caretta caretta)",T,"$123,600 ",$264 ,"$123,864 ",$0 ,"$123,864 ",Reptiles
123,"Skink, sand (Neoseps reynoldsi)",T,$41 ,$0 ,$41 ,$0 ,$41 ,Reptiles
59,"Snake, Atlantic salt marsh(Nerodia clarkii taeniata)",T,"$123,600 ",$0 ,"$123,600 ",$0 ,"$123,600 ",Reptiles
75,"Snake, eastern indigo(Drymarchon corais couperi)",T,"$46,707 ",$0 ,"$46,707 ",$0 ,"$46,707 ",Reptiles
100,"Tortoise, desert (Gopherus agassizii)U.S.A., except in Sonoran Desert",T,$0 ,"$4,170 ","$4,170 ",$0 ,"$4,170 ",Reptiles
99,"Turtle, bog (=Muhlenberg)southern (Clemmys muhlenbergii)",SAT,$0 ,"$7,000 ","$7,000 ",$0 ,"$7,000 ",Reptiles
,Reptiles Subtotal,,"$664,748 ","$363,962 ","$1,028,710 ",$0 ,"$1,028,710 ",
,Reptiles Subtotal Verified,,"$664,748 ","$363,962 ","$1,028,710 ",$0 ,"$1,028,710 ",
,,,,,,,,
25,"Frog, California red-legged(Rana aurora draytonii)subspecies range clarified",T,"$517,250 ","$1,040 ","$518,290 ",$0 ,"$518,290 ",Amphibians
103,"Frog, mountain yellow-legged(Rana muscosa) so. California DPS",E,$0 ,"$1,040 ","$1,040 ",$0 ,"$1,040 ",Amphibians
17,"Salamander, California tiger(Ambystoma californiense) Entire",T,"$545,785 ","$117,000 ","$662,785 ",$0 ,"$662,785 ",Amphibians
81,"Salamander, Santa Cruz long-toed(Ambystoma macrodactylumcroceum)",E,$0 ,"$42,000 ","$42,000 ",$0 ,"$42,000 ",Amphibians
25,"Toad, arroyo (=arroyo southwestern)(Bufo californicus (=microscaphus))",E,"$517,250 ","$1,040 ","$518,290 ",$0 ,"$518,290 ",Amphibians
,Amphibians Subtotal,,"$1,580,285 ","$162,120 ","$1,742,405 ",$0 ,"$1,742,405 ",
,Amphibians Subtotal Verified,,"$1,580,285 ","$162,120 ","$1,742,405 ",$0 ,"$1,742,405 ",
,,,,,,,,
66,"Darter, slackwater(Etheostoma boschungi)",T,$0 ,"$100,000 ","$100,000 ",$0 ,"$100,000 ",Fishes
88,"Goby, tidewater(Eucyclogobius newberryi) Entire",E,"$25,000 ","$1,000 ","$26,000 ",$0 ,"$26,000 ",Fishes
83,"Salmon, chinook(Oncorhynchus (=Salmo)tshawytscha) fall Snake R.",T,$0 ,"$35,200 ","$35,200 ",$0 ,"$35,200 ",Fishes
39,"Salmon, chinook(Oncorhynchus (=Salmo)tshawytscha) spring/summer SnakeR.",T,"$176,000 ","$153,267 ","$329,267 ",$0 ,"$329,267 ",Fishes
47,"Salmon, chinook(Oncorhynchus (=Salmo)tshawytscha)winter Sacramento R.",E,"$219,762 ",$0 ,"$219,762 ",$0 ,"$219,762 ",Fishes
8,"Salmon, chinook(Oncorhynchus (=Salmo)tshawytscha)Puget Sound",T,"$225,000 ","$281,600 ","$506,600 ","$587,500 ","$1,094,100 ",Fishes
54,"Salmon, chinook(Oncorhynchus (=Salmo)tshawytscha)lower Columbia R.",T,$0 ,"$140,800 ","$140,800 ",$0 ,"$140,800 ",Fishes
54,"Salmon, chinook(Oncorhynchus (=Salmo)tshawytscha)spring upper Columbia R.",E,$0 ,"$140,800 ","$140,800 ",$0 ,"$140,800 ",Fishes
47,"Salmon, chinook(Oncorhynchus (=Salmo)tshawytscha)CA Central Valley spring-run",T,"$219,762 ",$0 ,"$219,762 ",$0 ,"$219,762 ",Fishes
89,"Salmon, chinook(Oncorhynchus (=Salmo)tshawytscha)CA coastal",T,"$25,000 ",$0 ,"$25,000 ",$0 ,"$25,000 ",Fishes
86,"Salmon, chum  (Oncorhynchus(=Salmo) keta)  Columbia R.",T,$0 ,"$28,160 ","$28,160 ",$0 ,"$28,160 ",Fishes
80,"Salmon, chum(Oncorhynchus (=Salmo) keta)summer-run Hood Canal",T,$0 ,"$42,240 ","$42,240 ",$0 ,"$42,240 ",Fishes
73,"Salmon, coho(Oncorhynchus (=Salmo) kisutch)central CA coast",T,$0 ,"$50,000 ","$50,000 ",$0 ,"$50,000 ",Fishes
43,"Salmon, coho (Oncorhynchus (=Salmo) kisutch) OR, CA pop.",T,"$25,000 ","$250,000 ","$275,000 ",$0 ,"$275,000 ",Fishes
44,"Salmon, sockeye (Oncorhynchus(=Salmo) nerka)U.S.A. (Snake River, ID stockwherever found.)",E,"$176,000 ","$70,400 ","$246,400 ",$0 ,"$246,400 ",Fishes
41,"Steelhead(Oncorhynchus (=Salmo) mykiss)Central Valley CA",T,"$219,762 ","$75,000 ","$294,762 ",$0 ,"$294,762 ",Fishes
69,"Steelhead(Oncorhynchus (=Salmo) mykiss)Snake R. Basin",T,$0 ,"$95,404 ","$95,404 ",$0 ,"$95,404 ",Fishes
51,"Steelhead (Oncorhynchus (=Salmo)mykiss)  central CA coast",T,$0 ,"$195,000 ","$195,000 ",$0 ,"$195,000 ",Fishes
83,"Steelhead  (Oncorhynchus (=Salmo)mykiss) lower Columbia R.",T,$0 ,"$35,200 ","$35,200 ",$0 ,"$35,200 ",Fishes
40,"Steelhead(Oncorhynchus (=Salmo) mykiss)upper Columbia R. Basin",E,"$176,000 ","$140,800 ","$316,800 ",$0 ,"$316,800 ",Fishes
35,"Steelhead(Oncorhynchus (=Salmo) mykiss)middle Columbia R.",T,"$176,000 ","$279,700 ","$455,700 ",$0 ,"$455,700 ",Fishes
46,"Steelhead(Oncorhynchus (=Salmo) mykiss)northern CA",T,"$25,000 ","$200,000 ","$225,000 ",$0 ,"$225,000 ",Fishes
85,"Sturgeon, pallid(Scaphirhynchus albus)",E,$0 ,"$35,000 ","$35,000 ",$0 ,"$35,000 ",Fishes
23,"Trout, bull (Salvelinus confluentus)U.S.A., conterminous, lower 48states",T,"$225,000 ","$317,300 ","$542,300 ",$0 ,"$542,300 ",Fishes
,Fishes Subtotal,,"$1,913,286 ","$2,666,871 ","$4,580,157 ","$587,500 ","$5,167,657 ",
,Fishes Subtotal Verified,,"$1,913,286 ","$2,666,871 ","$4,580,157 ","$587,500 ","$5,167,657 ",
,,,,,,,,
33,"Heelsplitter, Carolina(Lasmigona decorata)",E,$0 ,$0 ,$0 ,"$490,000 ","$490,000 ",Clams
90,"Kidneyshell, triangular(Ptychobranchus greenii)",E,"$24,000 ",$0 ,"$24,000 ",$0 ,"$24,000 ",Clams
90,"Pocketbook, finelined(Lampsilis altilis)",T,"$24,000 ",$0 ,"$24,000 ",$0 ,"$24,000 ",Clams
13,"Spinymussel, Tar River(Elliptio steinstansana)",E,$0 ,"$917,000 ","$917,000 ",$0 ,"$917,000 ",Clams
13,"Wedgemussel, dwarf(Alasmidonta heterodon)",E,$0 ,"$917,000 ","$917,000 ",$0 ,"$917,000 ",Clams
,Clams Subtotal,,"$48,000 ","$1,834,000 ","$1,882,000 ","$490,000 ","$2,372,000 ",
,Clams Subtotal Verified,,"$48,000 ","$1,834,000 ","$1,882,000 ","$490,000 ","$2,372,000 ",
,,,,,,,,
90,"Lioplax, cylindrical (snail)(Lioplax cyclostomaformis)",E,"$24,000 ",$0 ,"$24,000 ",$0 ,"$24,000 ",Snails
90,"Pebblesnail, flat(Lepyrium showalteri)",E,"$24,000 ",$0 ,"$24,000 ",$0 ,"$24,000 ",Snails
90,"Rocksnail, round(Leptoxis ampla)",T,"$24,000 ",$0 ,"$24,000 ",$0 ,"$24,000 ",Snails
32,"Snail, flat-spired three-toothed(Triodopsis platysayoides)",T,$0 ,"$500,000 ","$500,000 ",$0 ,"$500,000 ",Snails
78,"Snail, Stock Island tree (Orthalicusreses (not incl. nesodryas))",T,"$46,666 ",$0 ,"$46,666 ",$0 ,"$46,666 ",Snails
,Snails Subtotal,,"$118,666 ","$500,000 ","$618,666 ",$0 ,"$618,666 ",
,Snails Subtotal Verified,,"$118,666 ","$500,000 ","$618,666 ",$0 ,"$618,666 ",
,,,,,,,,
87,"Beetle, American burying(Nicrophorus americanus)",E,$0 ,$0 ,$0 ,"$28,000 ","$28,000 ",Insects
36,"Beetle, valley elderberry longhorn(Desmocerus californicusdimorphus)",T,"$219,762 ","$197,000 ","$416,762 ",$0 ,"$416,762 ",Insects
6,"Butterfly, Quino checkerspot(Euphydryas editha quino (=E. e.wrighti))",E,"$2,917,250 ",$0 ,"$2,917,250 ",$0 ,"$2,917,250 ",Insects
,Insects Subtotal,,"$3,137,012 ","$197,000 ","$3,334,012 ","$28,000 ","$3,362,012 ",
,Insects Subtotal Verified,,"$3,137,012 ","$197,000 ","$3,334,012 ","$28,000 ","$3,362,012 ",
,,,,,,,,
20,"Fairy shrimp, Conservancy(Branchinecta conservatio)",E,"$545,785 ","$7,500 ","$553,285 ",$0 ,"$553,285 ",Crustaceans
21,"Fairy shrimp, longhorn(Branchinecta longiantenna)",E,"$545,785 ",$0 ,"$545,785 ",$0 ,"$545,785 ",Crustaceans
9,"Fairy shrimp, Riverside(Streptocephalus woottoni)",E,"$1,063,035 ",$0 ,"$1,063,035 ",$0 ,"$1,063,035 ",Crustaceans
9,"Fairy shrimp, San Diego(Branchinecta sandiegonensis)",E,"$1,063,035 ",$0 ,"$1,063,035 ",$0 ,"$1,063,035 ",Crustaceans
4,"Fairy shrimp, vernal pool(Branchinecta lynchi)",T,"$545,785 ","$2,407,500 ","$2,953,285 ",$0 ,"$2,953,285 ",Crustaceans
21,"Shrimp, California freshwater(Syncaris pacifica)",E,"$545,785 ",$0 ,"$545,785 ",$0 ,"$545,785 ",Crustaceans
5,"Tadpole shrimp, vernal pool(Lepidurus packardi)",E,"$545,785 ","$2,400,000 ","$2,945,785 ",$0 ,"$2,945,785 ",Crustaceans
,Crustaceans Subtotal,,"$4,854,995 ","$4,815,000 ","$9,669,995 ",$0 ,"$9,669,995 ",
,Crustaceans Subtotal Verified,,"$4,854,995 ","$4,815,000 ","$9,669,995 ",$0 ,"$9,669,995 ",
,,,,,,,,
115,"Blazingstar, scrub(Liatris ohlingerae)",E,$42 ,$0 ,$42 ,$0 ,$42 ,Flowering Plants
107,"Bluegrass, San Bernardino(Poa atropurpurea)",E,$0 ,$520 ,$520 ,$0 ,$520 ,Flowering Plants
115,"Bonamia, Florida(Bonamia grandiflora)",T,$42 ,$0 ,$42 ,$0 ,$42 ,Flowering Plants
107,"Buckwheat, cushenbury (Eriogonumovalifolium var. vineum)",E,$0 ,$520 ,$520 ,$0 ,$520 ,Flowering Plants
115,"Buckwheat, scrub (Eriogonumlongifolium var. gnaphalifolium)",T,$42 ,$0 ,$42 ,$0 ,$42 ,Flowering Plants
101,"Bush-clover, prairie(Lespedeza leptostachya)",T,$0 ,$0 ,$0 ,"$2,500 ","$2,500 ",Flowering Plants
27,"Button-celery, San Diego (Eryngiumaristulatum var. parishii)",E,"$517,250 ",$0 ,"$517,250 ",$0 ,"$517,250 ",Flowering Plants
76,"Cactus, Key tree(Pilosocereus robinii)",E,"$46,667 ",$0 ,"$46,667 ",$0 ,"$46,667 ",Flowering Plants
71,"Catchfly, Spalding's(Silene spaldingii)",T,"$50,667 ","$2,000 ","$52,667 ",$0 ,"$52,667 ",Flowering Plants
74,"Checker-mallow, Keck's (Sidalcea keckii)",E,$0 ,"$48,000 ","$48,000 ",$0 ,"$48,000 ",Flowering Plants
115,"Fringe-tree, pygmy(Chionanthus pygmaeus)",E,$42 ,$0 ,$42 ,$0 ,$42 ,Flowering Plants
63,"Goldenrod, Short's (Solidago shortii)",E,$0 ,$0 ,$0 ,"$122,700 ","$122,700 ",Flowering Plants
72,"Howellia, water(Howellia aquatilis)",T,"$50,667 ",$0 ,"$50,667 ",$0 ,"$50,667 ",Flowering Plants
97,"Iris, dwarf lake (Iris lacustris)",T,$0 ,$0 ,$0 ,"$12,000 ","$12,000 ",Flowering Plants
27,"Mesa-mint, Otay(Pogogyne nudiuscula)",E,"$517,250 ",$0 ,"$517,250 ",$0 ,"$517,250 ",Flowering Plants
27,"Mesa-mint, San Diego(Pogogyne abramsii)",E,"$517,250 ",$0 ,"$517,250 ",$0 ,"$517,250 ",Flowering Plants
115,"Mint, Garrett's(Dicerandra christmanii)",E,$42 ,$0 ,$42 ,$0 ,$42 ,Flowering Plants
98,"Monkshood, northern wild(Aconitum noveboracense)",T,$0 ,$0 ,$0 ,"$9,000 ","$9,000 ",Flowering Plants
107,"Mustard, slender-petaled(Thelypodium stenopetalum)",E,$0 ,$520 ,$520 ,$0 ,$520 ,Flowering Plants
82,"Orchid, eastern prairie fringed(Platanthera leucophaea)",T,$0 ,$0 ,$0 ,"$35,400 ","$35,400 ",Flowering Plants
27,"Orcutt grass, California(Orcuttia californica)",E,"$517,250 ",$0 ,"$517,250 ",$0 ,"$517,250 ",Flowering Plants
107,"Oxytheca, cushenbury (Oxythecaparishii var. goodmaniana)",E,$0 ,$520 ,$520 ,$0 ,$520 ,Flowering Plants
107,"Paintbrush, ash-grey(Castilleja cinerea)",T,$0 ,$520 ,$520 ,$0 ,$520 ,Flowering Plants
115,Pigeon wings (Clitoria fragrans),T,$42 ,$0 ,$42 ,$0 ,$42 ,Flowering Plants
123,"Plum, scrub (Prunus geniculata)",E,$41 ,$0 ,$41 ,$0 ,$41 ,Flowering Plants
107,"Sandwort, Bear Valley(Arenaria ursina)",T,$0 ,$520 ,$520 ,$0 ,$520 ,Flowering Plants
78,"Spurge, Garber's(Chamaesyce garberi)",T,"$46,666 ",$0 ,"$46,666 ",$0 ,"$46,666 ",Flowering Plants
107,"Taraxacum, California(Taraxacum californicum)",E,$0 ,$520 ,$520 ,$0 ,$520 ,Flowering Plants
18,"Tarplant, Otay (Deinandra(=Hemizonia) conjugens)",T,"$651,000 ",$0 ,"$651,000 ",$0 ,"$651,000 ",Flowering Plants
64,"Water-umbel, Huachuca (Lilaeopsisschaffneriana var. recurva)",E,$0 ,"$115,000 ","$115,000 ",$0 ,"$115,000 ",Flowering Plants
115,"Whitlow-wort, papery(Paronychia chartacea)",T,$42 ,$0 ,$42 ,$0 ,$42 ,Flowering Plants
123,Wireweed (Polygonella basiramia),E,$41 ,$0 ,$41 ,$0 ,$41 ,Flowering Plants
49,"Wooly-threads, San Joaquin(Monolopia (=Lembertia) congdonii)",E,$0 ,"$200,000 ","$200,000 ",$0 ,"$200,000 ",Flowering Plants
,Flowering Plants Subtotal,,"$2,915,043 ","$368,640 ","$3,283,683 ","$181,600 ","$3,465,283 ",
,Flowering Plants Subtotal Verified,,"$2,915,043 ","$368,640 ","$3,283,683 ","$181,600 ","$3,465,283 ",
,,,,,,,,
,Totals,,,,,,,
,Total Land Expenditures for FY2004,,"$29,645,961 ","$28,613,127 ","$58,259,088 ","$2,094,400 ","$60,353,488 ",
,Other ESA Expenses,,"$438,000 ",$0 ,"$438,000 ","$75,500,000 ","$75,938,000 ",
,"Total Land/Other ESA LandExpenditures for FY2004",,"$30,083,961 ","$28,613,127 ","$58,697,088 ","$77,594,400 ","$136,291,488 ",
,,,,,,,,
,Totals Verified,,"$29,645,961 ","$28,613,127 ","$58,259,088 ","$2,094,400 ","$60,353,488 ",
,Total Land Expenditures for FY2004 Verified,,,,,,,
,Other ESA Expenses Verified,,,,,,,
,Total Land/Other ESA Land Expenditures for FY2004 Verified,,,,,,,
