Rank,Species (50 CFR Part 17),Stat- us,"SpeciesTotal","CumulativeTotal","CumulativePercent"
30,"Minnow, Rio Grande silvery (Hybognathus amarus)",E,"5,935,500","422,451,546",65.24
31,"Sea turtle, green (Chelonia mydas)","E,T","5,806,290","428,257,836",66.13
32,"Sea turtle, loggerhead (Caretta caretta)",T,"5,695,531","433,953,367",67.01
33,"Sea turtle, olive ridley (Lepidochelys olivacea)","E,T","5,202,856","439,156,223",67.82
34,"Salmon, chinookCA coastal (Oncorhynchus (=Salmo) tshawytscha)",T,"5,104,000","444,260,223",68.6
35,"Crane, whooping (Grus americana)",E,"5,098,149","449,358,372",69.39
36,"Salmon, sockeyeU.S.A. (Ozette Lake, WA (Oncorhynchus (=Salmo) nerka)",T,"5,053,050","454,411,422",70.17
37,"Salmon, cohocentral CA coast (Oncorhynchus (=Salmo) kisutch)",T,"4,700,454","459,111,876",70.9
38,"Steelheadupper Willamette R. (Oncorhynchus (=Salmo) mykiss)",T,"4,605,500","463,717,376",71.61
39,"Sturgeon, pallid (Scaphirhynchus albus)",E,"4,585,369","468,302,745",72.32
40,"Sea turtle, Kemp's ridley (Lepidochelys kempii)",E,"4,461,620","472,764,365",73.0
41,"Owl, northern spotted (Strix occidentalis caurina)",T,"4,442,627","477,206,992",73.69
42,"Wolf, gray (Canis lupus)","E,T","4,428,321","481,635,313",74.37
43,"Sea turtle, hawksbill (Eretmochelys imbricata)",E,"4,396,687","486,032,000",75.05
44,"Steelheadcentral CA coast (Oncorhynchus (=Salmo) mykiss)",T,"4,367,800","490,399,800",75.73
45,"Steelheadsouthern CA coast (Oncorhynchus (=Salmo) mykiss)",E,"4,311,262","494,711,062",76.39
46,"Salmon, chumsummer-run Hood Canal (Oncorhynchus (=Salmo) keta)",T,"4,307,227","499,018,289",77.06
47,"Owl, Mexican spotted (Strix occidentalis lucida)",T,"4,303,324","503,321,613",77.72
48,"Sea turtle, leatherback (Dermochelys coriacea)",E,"4,260,034","507,581,647",78.38
49,"Plover, piping (Charadrius melodus)","E,T","4,254,503","511,836,150",79.04
50,"Steelheadsouth central CA coast (Oncorhynchus (=Salmo) mykiss)",T,"4,232,800","516,068,950",79.69
51,"Murrelet, marbled (Brachyramphus marmoratus marmoratus)",T,"4,209,300","520,278,250",80.34
52,"Chub, humpback (Gila cypha)",E,"3,963,430","524,241,680",80.95
53,"Sucker, Lost River (Deltistes luxatus)",E,"3,792,820","528,034,500",81.54
54,"Bear, grizzly (Ursus arctos horribilis)",T,"3,747,538","531,782,038",82.12
55,"Sucker, shortnose (Chasmistes brevirostris)",E,"3,696,391","535,478,429",82.69
56,"Sturgeon, white (Acipenser transmontanus)",E,"3,263,400","538,741,829",83.19
57,"Lynx, Canada (Lynx canadensis)",T,"2,957,859","541,699,688",83.65
58,"Chub, bonytail (Gila elegans)",E,"2,805,530","544,505,218",84.08
59,"Shrike, San Clemente loggerhead (Lanius ludovicianus mearnsi)",E,"2,559,300","547,064,518",84.48
60,"Bat, Indiana (Myotis sodalis)",E,"2,383,433","549,447,951",84.85
61,"Tern, least (Sterna antillarum)",E,"2,377,697","551,825,648",85.21
62,"Trout, Lahontan cutthroat (Oncorhynchus clarki henshawi)",T,"2,334,391","554,160,039",85.57
63,"Darter, Okaloosa (Etheostoma okaloosae)",E,"2,245,000","556,405,039",85.92
64,"Seal, Hawaiian monk (Monachus schauinslandi)",E,"2,121,000","558,526,039",86.25
65,"Vireo, black-capped (Vireo atricapilla)",E,"2,088,831","560,614,870",86.57
66,"Plover, western snowy (Charadrius alexandrinus nivosus)",T,"2,067,855","562,682,725",86.89
67,"Bear, Louisiana black (Ursus americanus luteolus)",T,"2,028,574","564,711,299",87.2
68,"Ferret, black-footed (Mustela nigripes)",E,"2,002,928","566,714,227",87.51
69,"Parrot, Puerto Rican (Amazona vittata)",E,"1,629,914","568,344,141",87.76
70,"Pygmy-owl, cactus ferruginous (Glaucidium brasilianum cactorum)",E,"1,607,900","569,952,041",88.01
71,"Warbler (=wood), golden-cheeked (Dendroica chrysoparia)",E,"1,553,371","571,505,412",88.25
72,"Frog, California red-legged (Rana aurora draytonii)",T,"1,385,336","572,890,748",88.47
73,"Jay, Florida scrub (Aphelocoma coerulescens)",T,"1,324,100","574,214,848",88.67
74,"Milk-vetch, Peirson's (Astragalus magdalenae var. peirsonii)",T,"1,302,200","575,517,048",88.87
75,Spikedace (Meda fulgida),T,"1,258,800","576,775,848",89.07
76,"Minnow, loach (Tiaroga cobitis)",T,"1,203,900","577,979,748",89.25
77,"Vireo, least Bell's (Vireo bellii pusillus)",E,"1,191,339","579,171,087",89.44
78,"Tern, California least (Sterna antillarum browni)",E,"1,188,974","580,360,061",89.62
79,"Bat, gray (Myotis grisescens)",E,"1,125,900","581,485,961",89.79
80,"Otter, southern sea (Enhydra lutris nereis)",T,"1,094,200","582,580,161",89.96
81,"Squirrel, Delmarva Peninsula fox (Sciurus niger cinereus)",E,"1,092,600","583,672,761",90.13
82,"Topminnow, Gila (incl. Yaqui) (Poeciliopsis occidentalis)",E,"1,061,276","584,734,037",90.3
83,"Shiner, Pecos bluntnose (Notropis simus pecosensis)",T,"1,028,500","585,762,537",90.45
84,"Splittail, Sacramento (Pogonichthys macrolepidotus)",T,"1,004,800","586,767,337",90.61
85,Cui-ui (Chasmistes cujus),E,"987,062","587,754,399",90.76
86,Woundfin (Plagopterus argentissimus),E,"973,600","588,727,999",90.91
87,"Smelt, delta (Hypomesus transpacificus)",T,"943,200","589,671,199",91.06
88,"Pronghorn, Sonoran (Antilocapra americana sonoriensis)",E,"941,400","590,612,599",91.2
89,"Wolf, red (Canis rufus)",E,"919,850","591,532,449",91.35
90,"Sheep, bighorn (Ovis canadensis californiana)",E,"912,000","592,444,449",91.49
91,"Sturgeon, shortnose (Acipenser brevirostrum)",E,"886,050","593,330,499",91.62
92,Palila (honeycreeper) (Loxioides bailleui),E,"885,450","594,215,949",91.76
93,"Sturgeon, gulf (Acipenser oxyrinchus desotoi)",T,"837,100","595,053,049",91.89
94,"Sparrow, Cape Sable seaside (Ammodramus maritimus mirabilis)",E,"810,750","595,863,799",92.01
95,"Mouse, Preble's meadow jumping (Zapus hudsonius preblei)",T,"762,390","596,626,189",92.13
96,Higgins eye (pearlymussel) (Lampsilis higginsii),E,"759,550","597,385,739",92.25
97,"Whale, humpback (Megaptera novaeangliae)",E,"740,160","598,125,899",92.36
98,"Chub, Virgin River (Gila seminuda (=robusta))",E,"715,062","598,840,961",92.47
99,"Butterfly, Karner blue (Lycaeides melissa samuelis)",E,"653,650","599,494,611",92.57
100,"Sucker, Santa Ana (Catostomus santaanae)",T,"647,126","600,141,737",92.67
101,"Eider, Steller's (Polysticta stelleri)",T,"638,150","600,779,887",92.77
102,"Eider, spectacled (Somateria fischeri)",T,"637,800","601,417,687",92.87
103,"Fox, San Joaquin kit (Vulpes macrotis mutica)",E,"615,800","602,033,487",92.97
104,"Mouse, Alabama beach (Peromyscus polionotus ammobates)",E,"567,000","602,600,487",93.05
105,"Toad, arroyo (=arroyo southwestern) (Bufo californicus (=microscaphus))",E,"535,398","603,135,885",93.14
106,"Albatross, short-tailed (Phoebastria (=Diomedea) albatrus)",E,"532,507","603,668,392",93.22
107,"Tortoise, gopher (Gopherus polyphemus)",T,"518,300","604,186,692",93.3
108,"Warbler (=wood), Kirtland's (Dendroica kirtlandii)",E,"498,900","604,685,592",93.38
109,"Sturgeon, Alabama (Scaphirhynchus suttkusi)",E,"497,500","605,183,092",93.45
110,"Pelican, brown (Pelecanus occidentalis)",E,"476,680","605,659,772",93.53
111,"Gnatcatcher, coastal California (Polioptila californica californica)",T,"470,343","606,130,115",93.6
112,"Chaffseed, American (Schwalbea americana)",E,"464,600","606,594,715",93.67
113,"Snake, eastern indigo (Drymarchon corais couperi)",T,"459,910","607,054,625",93.74
114,"Squirrel, northern Idaho ground (Spermophilus brunneus brunneus)",T,"448,931","607,503,556",93.81
115,"Salamander, flatwoods (Ambystoma cingulatum)",T,"446,350","607,949,906",93.88
116,"Sucker, June (Chasmistes liorus)",E,"420,300","608,370,206",93.95
117,"Stork, wood (Mycteria americana)",E,"420,132","608,790,338",94.01
118,"Prairie dog, Utah (Cynomys parvidens)",T,"418,675","609,209,013",94.07
119,"Shiner, Topeka (Notropis topeka (=tristis))",E,"396,519","609,605,532",94.14
120,"Sheep, bighorn (Ovis canadensis)",E,"393,024","609,998,556",94.2
121,"Rail, Guam (Rallus owstoni)",E,"389,100","610,387,656",94.26
122,"Goby, tidewater (Eucyclogobius newberryi)",E,"387,040","610,774,696",94.32
123,"Kangaroo rat, San Bernardino Merriam's (Dipodomys merriami parvus)",E,"375,496","611,150,192",94.37
124,"Turtle, bog (=Muhlenberg) (Clemmys muhlenbergii)",T,"366,670","611,516,862",94.43
125,"Condor, California (Gymnogyps californianus)",E,"356,494","611,873,356",94.49
126,"Mouse, salt marsh harvest (Reithrodontomys raviventris)",E,"354,415","612,227,771",94.54
127,"Crow, Mariana (=aga) (Corvus kubaryi)",E,"354,200","612,581,971",94.6
128,"Butterfly, Quino checkerspot (Euphydryas editha quino (=E. e. wrighti))",E,"344,692","612,926,663",94.65
129,"Amaranth, seabeach (Amaranthus pumilus)",T,"343,272","613,269,935",94.7
130,"Ladies'-tresses, Ute (Spiranthes diluvialis)",T,"342,220","613,612,155",94.75
131,"Falcon, northern aplomado (Falco femoralis septentrionalis)",E,"338,200","613,950,355",94.81
132,"Butterweed, Layne's (Senecio layneae)",T,"327,300","614,277,655",94.86
133,"Snake, giant garter (Thamnophis gigas)",T,"326,400","614,604,055",94.91
134,"Ceanothus, Pine Hill (Ceanothus roderickii)",E,"325,000","614,929,055",94.96
135,"Fairy shrimp, San Diego (Branchinecta sandiegonensis)",E,"324,528","615,253,583",95.01
136,"Lizard, Coachella Valley fringe-toed (Uma inornata)",T,"319,700","615,573,283",95.06
137,"Trout, greenback cutthroat (Oncorhynchus clarki stomias)",T,"313,700","615,886,983",95.11
138,"Rabbit, riparian brush (Sylvilagus bachmani riparius)",E,"310,200","616,197,183",95.15
139,Geocarpon minimum (=Sci name),T,"306,000","616,503,183",95.2
140,"Stilt, Hawaiian (Himantopus mexicanus knudseni)",E,"296,196","616,799,379",95.25
141,"Tern, roseate (Sterna dougallii dougallii)","E,T","286,946","617,086,325",95.29
142,"Rail, California clapper (Rallus longirostris obsoletus)",E,"284,406","617,370,731",95.34
143,"Bat, Hawaiian hoary (Lasiurus cinereus semotus)",E,"275,268","617,645,999",95.38
144,"Pupfish, desert (Cyprinodon macularius)",E,"269,226","617,915,225",95.42
145,"Caribou, woodland (Rangifer tarandus caribou)",E,"267,200","618,182,425",95.46
146,"Rail, Yuma clapper (Rallus longirostris yumanensis)",E,"267,015","618,449,440",95.5
147,"Moorhen, Mariana common (Gallinula chloropus guami)",E,"266,908","618,716,348",95.54
148,"Sunflower, Eggert's (Helianthus eggertii)",T,"259,100","618,975,448",95.58
149,"Woodrat, riparian (=San Joaquin Valley) (Neotoma fuscipes riparia)",E,"254,100","619,229,548",95.62
150,"Goose, Hawaiian (Branta (=Nesochen) sandvicensis)",E,"244,755","619,474,303",95.66
151,"Milk-vetch, Lane Mountain (Astragalus jaegerianus)",E,"243,000","619,717,303",95.7
152,"Beetle, American burying (Nicrophorus americanus)",E,"242,230","619,959,533",95.73
153,"Orchid, western prairie fringed (Platanthera praeclara)",T,"238,454","620,197,987",95.77
154,"Coneflower, smooth (Echinacea laevigata)",E,"237,300","620,435,287",95.81
155,"Fairy shrimp, vernal pool (Branchinecta lynchi)",T,"233,700","620,668,987",95.84
156,"Toad, Houston (Bufo houstonensis)",E,"228,650","620,897,637",95.88
157,"Pimpleback, orangefoot (pearlymussel) (Plethobasus cooperianus)",E,"225,900","621,123,537",95.91
158,"Fritillary, Gentner's (Fritillaria gentneri)",E,"225,000","621,348,537",95.95
159,"Blackbird, yellow-shouldered (Agelaius xanthomus)",E,"223,500","621,572,037",95.98
160,"Snails, Oahu tree (Achatinella spp.)",E,"215,294","621,787,331",96.02
161,"Heelsplitter, Carolina (Lasmigona decorata)",E,"214,500","622,001,831",96.05
162,"Salamander, California tiger (Ambystoma californiense)",E,"209,932","622,211,763",96.08
163,"Snail, Morro shoulderband (=Banded dune) (Helminthoglypta walkeriana)",E,"208,500","622,420,263",96.11
164,"Seagrass, Johnson's (Halophila johnsonii)",T,"207,260","622,627,523",96.15
165,"Butterfly, mission blue (Icaricia icarioides missionensis)",E,"202,900","622,830,423",96.18
166,"Kangaroo rat, Morro Bay (Dipodomys heermanni morroensis)",E,"201,100","623,031,523",96.21
167,"Swiftlet, Mariana gray (Aerodramus vanikorensis bartschi)",E,"200,200","623,231,723",96.24
168,"Pogonia, small whorled (Isotria medeoloides)",T,"194,590","623,426,313",96.27
169,"Bean, purple (Villosa perpurpurea)",E,"186,875","623,613,188",96.3
170,"Kangaroo rat, Stephens' (Dipodomys stephensi (incl. D. cascus))",E,"185,511","623,798,699",96.33
171,"Gambusia, Pecos (Gambusia nobilis)",E,"183,700","623,982,399",96.36
172,"Chub, Mohave tui (Gila bicolor mohavensis)",E,"181,513","624,163,912",96.38
173,"Kite, Everglade snail (Rostrhamus sociabilis plumbeus)",E,"181,250","624,345,162",96.41
174,"Bat, Virginia big-eared (Corynorhinus (=Plecotus) townsendii virginianus)",E,"171,900","624,517,062",96.44
175,"Spineflower, Monterey (Chorizanthe pungens var. pungens)",T,"171,800","624,688,862",96.47
176,"Megapode, Micronesian (Megapodius laperouse)",E,"168,600","624,857,462",96.49
177,"Abalone, White (Haliotis sorenseni)",E,"164,000","625,021,462",96.52
178,"Mucket, pink (pearlymussel) (Lampsilis abrupta)",E,"159,700","625,181,162",96.54
179,"Sumac, Michaux's (Rhus michauxii)",E,"159,300","625,340,462",96.57
180,"Elepaio, Oahu (Chasiempis sandwichensis ibidis)",E,"158,638","625,499,100",96.59
181,"Butterfly, Palos Verdes blue (Glaucopsyche lygdamus palosverdesensis)",E,"158,100","625,657,200",96.61
182,"Tarplant, Otay (Deinandra (=Hemizonia) conjugens)",T,"156,500","625,813,700",96.64
183,"Bat, Mariana fruit (=Mariana flying fox) (Pteropus mariannus mariannus)",E,"156,100","625,969,800",96.66
184,"Moth, Blackburn's sphinx (Manduca blackburni)",E,"152,287","626,122,087",96.69
185,"Beetle, valley elderberry longhorn (Desmocerus californicus dimorphus)",T,"152,200","626,274,287",96.71
186,"Crow, Hawaiian (='alala) (Corvus hawaiiensis)",E,"150,400","626,424,687",96.73
187,"Trout, Gila (Oncorhynchus gilae)",E,"147,800","626,572,487",96.76
188,"Prairie-chicken, Attwater's greater (Tympanuchus cupido attwateri)",E,"146,908","626,719,395",96.78
189,"Salamander, Santa Cruz long-toed (Ambystoma macrodactylum croceum)",E,"144,200","626,863,595",96.8
190,"Frankenia, Johnston's (Frankenia johnstonii)",E,"140,400","627,003,995",96.82
191,"Spineflower, slender-horned (Dodecahema leptoceras)",E,"140,200","627,144,195",96.84
192,"Mapleleaf, winged (mussel) (Quadrula fragosa)",E,"137,900","627,282,095",96.87
193,"Bat, lesser long-nosed (Leptonycteris curasoae yerbabuenae)",E,"136,400","627,418,495",96.89
194,"Wallflower, Menzies' (Erysimum menziesii)",E,"134,500","627,552,995",96.91
195,"Petrel, Hawaiian dark-rumped (Pterodroma phaeopygia sandwichensis)",E,"133,251","627,686,246",96.93
196,"Crocodile, American (Crocodylus acutus)",E,"130,537","627,816,783",96.95
197,"Snail, Utah valvata (Valvata utahensis)",E,"129,900","627,946,683",96.97
198,"Thistle, Pitcher's (Cirsium pitcheri)",T,"128,550","628,075,233",96.99
199,"Snail, Newcomb's (Erinna newcombi)",T,"128,500","628,203,733",97.01
200,"Shiner, Cape Fear (Notropis mekistocholas)",E,"127,000","628,330,733",97.03
201,"Fairy shrimp, Riverside (Streptocephalus woottoni)",E,"125,748","628,456,481",97.05
202,"Rail, light-footed clapper (Rallus longirostris levipes)",E,"123,972","628,580,453",97.07
203,"Bladderpod, Missouri (Lesquerella filiformis)",E,"123,300","628,703,753",97.09
204,"Mouse, Pacific pocket (Perognathus longimembris pacificus)",E,"121,711","628,825,464",97.1
205,"Sparrow, Florida grasshopper (Ammodramus savannarum floridanus)",E,"121,600","628,947,064",97.12
206,"Logperch, Roanoke (Percina rex)",E,"119,050","629,066,114",97.14
207,"Amole, purple (Chlorogalum purpureum)",T,"117,100","629,183,214",97.16
208,"Dragonfly, Hine's emerald (Somatochlora hineana)",E,"116,700","629,299,914",97.18
209,"Butterfly, Oregon silverspot (Speyeria zerene hippolyta)",T,"115,870","629,415,784",97.2
210,"Squirrel, Mount Graham red (Tamiasciurus hudsonicus grahamensis)",E,"114,600","629,530,384",97.21
211,"Toad, Wyoming (Bufo baxteri (=hemiophrys))",E,"114,335","629,644,719",97.23
212,"Salamander, Barton Springs (Eurycea sosorum)",E,"114,200","629,758,919",97.25
213,"Fly, Delhi Sands flower-loving (Rhaphiomidas terminatus abdominalis)",E,"110,000","629,868,919",97.27
214,"Pocketbook, fat (Potamilus capax)",E,"109,900","629,978,819",97.28
215,"Loosestrife, rough-leaved (Lysimachia asperulaefolia)",E,"108,338","630,087,157",97.3
216,"Trout, Apache (Oncorhynchus apache)",T,"107,500","630,194,657",97.32
217,"Goldfields, Contra Costa (Lasthenia conjugens)",E,"107,200","630,301,857",97.33
218,"Pupfish, Devils Hole (Cyprinodon diabolis)",E,"106,600","630,408,457",97.35
219,"Manzanita, Ione (Arctostaphylos myrtifolia)",T,"106,200","630,514,657",97.36
220,"Boa, Puerto Rican (Epicrates inornatus)",E,"106,000","630,620,657",97.38
221,"Kangaroo rat, Tipton (Dipodomys nitratoides nitratoides)",E,"102,895","630,723,552",97.4
222,"Crane, Mississippi sandhill (Grus canadensis pulla)",E,"102,780","630,826,332",97.41
223,"Kingfisher, Guam Micronesian (Halcyon cinnamomina cinnamomina)",E,"101,700","630,928,032",97.43
224,"Quillwort, Louisiana (Isoetes louisianensis)",E,"101,500","631,029,532",97.44
225,"Chub, spotfin (Cyprinella monacha)",T,"100,050","631,129,582",97.46
226,"Lizard, blunt-nosed leopard (Gambelia silus)",E,"99,300","631,228,882",97.48
227,"Moorhen, Hawaiian common (Gallinula chloropus sandvicensis)",E,"98,866","631,327,748",97.49
228,"Coot, Hawaiian (Fulica americana alai)",E,"98,803","631,426,551",97.51
229,"Parrotbill, Maui (honeycreeper) (Pseudonestor xanthophrys)",E,"97,000","631,523,551",97.52
230,"Brodiaea, thread-leaved (Brodiaea filifolia)",T,"95,911","631,619,462",97.54
231,"Stickleback, unarmored threespine (Gasterosteus aculeatus williamsoni)",E,"95,000","631,714,462",97.55
232,Nukupu`u (honeycreeper) (Hemignathus lucidus),E,"94,000","631,808,462",97.56
233,"Squirrel, Virginia northern flying (Glaucomys sabrinus fuscus)",E,"93,000","631,901,462",97.58
234,"Pupfish, Ash Meadows Amargosa (Cyprinodon nevadensis mionectes)",E,"92,400","631,993,862",97.59
234,"Water-umbel, Huachuca (Lilaeopsis schaffneriana var. recurva)",E,"92,400","632,086,262",97.61
236,"Kangaroo rat, Fresno (Dipodomys nitratoides exilis)",E,"90,800","632,177,062",97.62
237,"Deer, Columbian white-tailed (Odocoileus virginianus leucurus)",E,"90,578","632,267,640",97.64
238,"Duck, Hawaiian (=koloa) (Anas wyvilliana)",E,"89,730","632,357,370",97.65
239,"Turtle, flattened musk (Sternotherus depressus)",T,"89,300","632,446,670",97.66
240,"Pigeon, Puerto Rican plain (Columba inornata wetmorei)",E,"88,500","632,535,170",97.68
241,"Howellia, water (Howellia aquatilis)",T,"86,300","632,621,470",97.69
242,"Gilia, Monterey (Gilia tenuiflora ssp. arenaria)",E,"86,100","632,707,570",97.7
243,"Cactus, Pima pineapple (Coryphantha scheeri var. robustispina)",E,"85,700","632,793,270",97.72
244,"Butterfly, Smith's blue (Euphilotes enoptes smithi)",E,"85,500","632,878,770",97.73
245,"Tadpole shrimp, vernal pool (Lepidurus packardi)",E,"85,200","632,963,970",97.74
246,"Woolly-star, Santa Ana River (Eriastrum densifolium ssp. sanctorum)",E,"85,000","633,048,970",97.76
247,"Bat, Ozark big-eared (Corynorhinus (=Plecotus) townsendii ingens)",E,"84,700","633,133,670",97.77
248,"Ambersnail, Kanab (Oxyloma haydeni kanabensis)",E,"83,100","633,216,770",97.78
249,"Shiner, Arkansas River (Notropis girardi)",T,"82,880","633,299,650",97.79
250,"Chub, Pahranagat roundtail (Gila robusta jordani)",E,"81,662","633,381,312",97.81
251,"Four-o'clock, MacFarlane's (Mirabilis macfarlanei)",T,"81,300","633,462,612",97.82
252,Ocelot (Leopardus (=Felis) pardalis),E,"81,150","633,543,762",97.83
253,Clubshell (Pleurobema clava),E,"81,100","633,624,862",97.85
254,"Bat, Mexican long-nosed (Leptonycteris nivalis)",E,"79,700","633,704,562",97.86
255,"Amphipod, Kauai cave (Spelaeorchestia koloana)",E,"79,200","633,783,762",97.87
256,Po`ouli (honeycreeper) (Melamprosops phaeosoma),E,"78,650","633,862,412",97.88
257,"Ziziphus, Florida (Ziziphus celata)",E,"77,100","633,939,512",97.89
258,"Warbler, nightingale reed (old world warbler) (Acrocephalus luscinia)",E,"75,900","634,015,412",97.91
259,"Grasshopper, Zayante band-winged (Trimerotropis infantilis)",E,"74,700","634,090,112",97.92
260,"Dace, Moapa (Moapa coriacea)",E,"74,162","634,164,274",97.93
261,"Chub, Oregon (Oregonichthys crameri)",E,"72,850","634,237,124",97.94
262,"Towhee, Inyo California (Pipilo crissalis eremophilus)",T,"72,100","634,309,224",97.95
263,"Checker-mallow, pedate (Sidalcea pedata)",E,"72,000","634,381,224",97.96
264,"Spider, Kauai cave wolf or pe'e pe'e maka 'ole (Adelocosa anops)",E,"71,200","634,452,424",97.97
265,"Pocketbook, finelined (Lampsilis altilis)",T,"69,800","634,522,224",97.98
266,"Popcornflower, rough (Plagiobothrys hirtus)",E,"69,700","634,591,924",97.99
267,"Thelypody, Howell's spectacular (Thelypodium howellii spectabilis)",T,"69,000","634,660,924",98.01
268,"Wedgemussel, dwarf (Alasmidonta heterodon)",E,"68,720","634,729,644",98.02
269,"Kangaroo rat, giant (Dipodomys ingens)",E,"66,400","634,796,044",98.03
270,"Duck, Laysan (Anas laysanensis)",E,"66,230","634,862,274",98.04
271,"Spinedace, White River (Lepidomeda albivallis)",E,"65,858","634,928,132",98.05
272,"Morning-glory, Stebbins' (Calystegia stebbinsii)",E,"65,400","634,993,532",98.06
273,"Jacquemontia, beach (Jacquemontia reclinata)",E,"65,260","635,058,792",98.07
274,"Monardella, willowy (Monardella linoides ssp. viminea)",E,"65,229","635,124,021",98.08
275,"Akepa, Maui (honeycreeper) (Loxops coccineus ochraceus)",E,"64,400","635,188,421",98.09
275,"Cactus, Chisos Mountain hedgehog (Echinocereus chisoensis var.chisoensis)",T,"64,400","635,252,821",98.1
277,"Checker-mallow, Keck's (Sidalcea keckii)",E,"63,800","635,316,621",98.11
278,"Darter, fountain (Etheostoma fonticola)",E,"62,800","635,379,421",98.12
279,"Cavefish, Ozark (Amblyopsis rosae)",T,"62,600","635,442,021",98.13
279,"Penny-cress, Kneeland Prairie (Thlaspi californicum)",E,"62,600","635,504,621",98.14
281,"Spineflower, Robust (incl. Scotts Valley) (Chorizanthe robusta (incl. vars.robusta and hartwegii))",E,"62,200","635,566,821",98.14
282,"Bear-poppy, dwarf (Arctomecon humilis)",E,"60,900","635,627,721",98.15
283,"Ground beetle, [unnamed] (Rhadine infernalis)",E,"60,000","635,687,721",98.16
283,"Ground beetle, [unnamed] (Rhadine exilis)",E,"60,000","635,747,721",98.17
283,"Meshweaver, Madla's Cave (Cicurina madla)",E,"60,000","635,807,721",98.18
286,"Hypericum, highlands scrub (Hypericum cumulicola)",E,"59,100","635,866,821",98.19
287,"Shrimp, Alabama cave (Palaemonias alabamae)",E,"59,000","635,925,821",98.2
288,"Thrush, small Kauai (=puaiohi) (Myadestes palmeri)",E,"58,800","635,984,621",98.21
289,"Sucker, Modoc (Catostomus microps)",E,"58,700","636,043,321",98.22
289,"Wild-rice, Texas (Zizania texana)",E,"58,700","636,102,021",98.23
291,"Dace, Ash Meadows speckled (Rhinichthys osculus nevadensis)",E,"58,462","636,160,483",98.24
292,"Darter, duskytail (Etheostoma percnurum)",E,"57,850","636,218,333",98.25
293,Ko`oko`olau (Bidens micrantha ssp. kalealaha),E,"57,820","636,276,153",98.25
294,"Madtom, Neosho (Noturus placidus)",T,"57,300","636,333,453",98.26
