TABLE 3. FY 2005 REPORTED LAND ACQUISITION EXPENDITURES FOR ENDANGERED AND THREATENED SPECIES ,,,,,,,,
,,,,,,,,
Rank,Species (50 CFR Part 17),Status,FWS Total,Other Fed,Fed Total,States Total,Species Total,Type
83,"Tortoise, desert (Gopherus agassizii)U.S.A., except in Sonoran Desert",T,$0 ,"$4,000 ","$4,000 ",$0 ,"$4,000 ",Reptiles
76,"Tortoise, gopher (Gopherus polyphemus)W of of Mobile/Tombigbee Rs.",T,"$13,125 ",$0 ,"$13,125 ",$0 ,"$13,125 ",Reptiles
65,"Turtle, bog (=Muhlenberg) (Clemmysmuhlenbergii)  northern",T,"$52,153 ",$0 ,"$52,153 ",$0 ,"$52,153 ",Reptiles
,Reptiles Subtotal,,"$2,981,252 ","$263,500 ","$3,244,752 ",$0 ,"$3,244,752 ",
,Reptiles Subtotal Verified,,"$2,981,252 ","$263,500 ","$3,244,752 ",$0 ,"$3,244,752 ",
,,,,,,,,
52,"Frog, California red-legged (Rana auroradraytonii)  subspecies range clarified",T,"$195,833 ",$0 ,"$195,833 ",$0 ,"$195,833 ",Amphibians
41,"Salamander, California tiger (Ambystomacaliforniense)  U.S.A. (Central CA DPS)",T,"$306,680 ",$0 ,"$306,680 ",$0 ,"$306,680 ",Amphibians
52,"Toad, arroyo (=arroyo southwestern)(Bufo californicus (=microscaphus))",E,"$195,833 ",$0 ,"$195,833 ",$0 ,"$195,833 ",Amphibians
,Amphibians Subtotal,,"$698,346 ",$0 ,"$698,346 ",$0 ,"$698,346 ",
,Amphibians Subtotal Verified,,"$698,346 ",$0 ,"$698,346 ",$0 ,"$698,346 ",
,,,,,,,,
63,"Cavefish, Ozark (Amblyopsis rosae)",T,"$101,500 ",$0 ,"$101,500 ",$0 ,"$101,500 ",Fishes
57,"Chub, bonytail (Gila elegans)entire",E,$0 ,"$153,500 ","$153,500 ",$0 ,"$153,500 ",Fishes
82,"Dace, Ash Meadows speckled(Rhinichthys osculus nevadensis)",E,"$4,635 ",$0 ,"$4,635 ",$0 ,"$4,635 ",Fishes
22,"Darter, Etowah (Etheostoma etowahae)",E,"$1,000,000 ",$0 ,"$1,000,000 ",$0 ,"$1,000,000 ",Fishes
37,"Pikeminnow (=squawfish), Colorado(Ptychocheilus lucius)except Salt and Verde R. drainages, AZ",E,$0 ,"$365,000 ","$365,000 ",$0 ,"$365,000 ",Fishes
82,"Pupfish, Ash Meadows Amargosa(Cyprinodon nevadensis mionectes)",E,"$4,635 ",$0 ,"$4,635 ",$0 ,"$4,635 ",Fishes
82,"Pupfish, Devils Hole (Cyprinodondiabolis)",E,"$4,635 ",$0 ,"$4,635 ",$0 ,"$4,635 ",Fishes
82,"Pupfish, Warm Springs (Cyprinodonnevadensis pectoralis)",E,"$4,635 ",$0 ,"$4,635 ",$0 ,"$4,635 ",Fishes
12,"Salmon, chinook (Oncorhynchus(=Salmo) tshawytscha)  spring upperColumbia R.",E,$0 ,"$1,807,500 ","$1,807,500 ",$0 ,"$1,807,500 ",Fishes
64,"Salmon, chinook (Oncorhynchus(=Salmo) tshawytscha)  winterSacramento R.",E,"$72,500 ",$0 ,"$72,500 ",$0 ,"$72,500 ",Fishes
7,"Salmon, chinook (Oncorhynchus(=Salmo) tshawytscha)  spring/summerSnake R.",T,$0 ,"$2,546,404 ","$2,546,404 ",$0 ,"$2,546,404 ",Fishes
60,"Salmon, chinook (Oncorhynchus(=Salmo) tshawytscha)  lower ColumbiaR.",T,$0 ,"$124,000 ","$124,000 ",$0 ,"$124,000 ",Fishes
14,"Salmon, chinook (Oncorhynchus(=Salmo) tshawytscha)  fall Snake R.",T,$0 ,"$1,714,500 ","$1,714,500 ",$0 ,"$1,714,500 ",Fishes
74,"Salmon, chinook (Oncorhynchus(=Salmo) tshawytscha)  upper WillametteR.",T,$0 ,"$19,167 ","$19,167 ",$0 ,"$19,167 ",Fishes
58,"Salmon, chinook (Oncorhynchus(=Salmo) tshawytscha)  CA Central Valleyspring-run",T,"$129,196 ",$0 ,"$129,196 ",$0 ,"$129,196 ",Fishes
38,"Salmon, chinook (Oncorhynchus(=Salmo) tshawytscha)  Puget Sound",T,"$112,000 ","$248,000 ","$360,000 ",$0 ,"$360,000 ",Fishes
68,"Salmon, chum (Oncorhynchus (=Salmo)keta)  summer-run Hood Canal",T,$0 ,"$37,200 ","$37,200 ",$0 ,"$37,200 ",Fishes
71,"Salmon, chum (Oncorhynchus (=Salmo)keta)  Columbia R.",T,$0 ,"$24,800 ","$24,800 ",$0 ,"$24,800 ",Fishes
13,"Salmon, sockeye (Oncorhynchus(=Salmo) nerka)U.S.A. (Snake River, ID stock whereverfound.)",E,$0 ,"$1,745,500 ","$1,745,500 ",$0 ,"$1,745,500 ",Fishes
34,"Shiner, Cahaba (Notropis cahabae)",E,"$421,000 ",$0 ,"$421,000 ",$0 ,"$421,000 ",Fishes
70,"Steelhead (Oncorhynchus (=Salmo)mykiss)lower Columbia R.",T,$0 ,"$31,000 ","$31,000 ",$0 ,"$31,000 ",Fishes
11,"Steelhead (Oncorhynchus (=Salmo)mykiss)middle Columbia R.",T,$0 ,"$1,860,998 ","$1,860,998 ",$0 ,"$1,860,998 ",Fishes
8,"Steelhead (Oncorhynchus (=Salmo)mykiss)Snake R. Basin",T,$0 ,"$2,494,842 ","$2,494,842 ",$0 ,"$2,494,842 ",Fishes
74,"Steelhead (Oncorhynchus (=Salmo)mykiss)upper Willamette R.",T,$0 ,"$19,167 ","$19,167 ",$0 ,"$19,167 ",Fishes
50,"Steelhead (Oncorhynchus (=Salmo)mykiss)Central Valley CA",T,"$201,696 ",$0 ,"$201,696 ",$0 ,"$201,696 ",Fishes
12,"Steelhead (Oncorhynchus (=Salmo)mykiss)upper Columbia R. Basin",E,$0 ,"$1,807,500 ","$1,807,500 ",$0 ,"$1,807,500 ",Fishes
51,"Sturgeon, pallid (Scaphirhynchus albus)",E,"$199,000 ",$0 ,"$199,000 ",$0 ,"$199,000 ",Fishes
30,"Sucker, razorback (Xyrauchen texanus)entire",E,$0 ,"$672,000 ","$672,000 ",$0 ,"$672,000 ",Fishes
20,"Trout, bull (Salvelinus confluentus)U.S.A., conterminous, lower 48 states",T,"$112,000 ","$957,614 ","$1,069,614 ",$0 ,"$1,069,614 ",Fishes
,Fishes Subtotal,,"$2,367,432 ","$16,628,692 ","$18,996,124 ",$0 ,"$18,996,124 ",
,Fishes Subtotal Verified,,"$2,367,432 ","$16,628,692 ","$18,996,124 ",$0 ,"$18,996,124 ",
,,,,,,,,
64,"Catspaw (=purple cat's paw pearlymussel)(Epioblasma obliquata obliquata)Entire Range; Except where listed asExperimental Populations",E,"$72,500 ",$0 ,"$72,500 ",$0 ,"$72,500 ",Clams
64,"Clubshell (Pleurobema clava)Entire Range; Except where listed asExperimental Populations",E,"$72,500 ",$0 ,"$72,500 ",$0 ,"$72,500 ",Clams
46,"Heelsplitter, Carolina (Lasmigonadecorata)",E,"$250,000 ",$0 ,"$250,000 ",$0 ,"$250,000 ",Clams
64,"Mucket, pink (pearlymussel) (Lampsilisabrupta)",E,"$72,500 ",$0 ,"$72,500 ",$0 ,"$72,500 ",Clams
64,"Pigtoe, rough (Pleurobema plenum)",E,"$72,500 ",$0 ,"$72,500 ",$0 ,"$72,500 ",Clams
,Clams Subtotal,,"$540,000 ",$0 ,"$540,000 ",$0 ,"$540,000 ",
,Clams Subtotal Verified,,"$540,000 ",$0 ,"$540,000 ",$0 ,"$540,000 ",
,,,,,,,,
19,"Beetle, American burying (Nicrophorusamericanus)",E,"$1,200,000 ",$0 ,"$1,200,000 ",$0 ,"$1,200,000 ",Insects
17,"Beetle, valley elderberry longhorn(Desmocerus californicus dimorphus)",T,"$1,312,962 ",$0 ,"$1,312,962 ",$0 ,"$1,312,962 ",Insects
23,"Butterfly, Quino checkerspot (Euphydryaseditha quino (=E. e. wrighti))",E,"$979,166 ",$0 ,"$979,166 ",$0 ,"$979,166 ",Insects
36,"Dragonfly, Hine's emerald (Somatochlorahineana)",E,$0 ,$0 ,$0 ,"$392,250 ","$392,250 ",Insects
61,"Moth, Blackburn's sphinx (Manducablackburni)",E,$0 ,"$122,860 ","$122,860 ",$0 ,"$122,860 ",Insects
82,"Naucorid, Ash Meadows (Ambrysusamargosus)",T,"$4,635 ",$0 ,"$4,635 ",$0 ,"$4,635 ",Insects
,Insects Subtotal,,"$3,496,763 ","$122,860 ","$3,619,623 ","$392,250 ","$4,011,873 ",
,Insects Subtotal Verified,,"$3,496,763 ","$122,860 ","$3,619,623 ","$392,250 ","$4,011,873 ",
,,,,,,,,
52,"Fairy shrimp, Riverside (Streptocephaluswoottoni)",E,"$195,833 ",$0 ,"$195,833 ",$0 ,"$195,833 ",Crustaceans
52,"Fairy shrimp, San Diego (Branchinectasandiegonensis)",E,"$195,833 ",$0 ,"$195,833 ",$0 ,"$195,833 ",Crustaceans
41,"Fairy shrimp, vernal pool (Branchinectalynchi)",T,"$306,680 ",$0 ,"$306,680 ",$0 ,"$306,680 ",Crustaceans
64,"Shrimp, Kentucky cave (Palaemoniasganteri)",E,"$72,500 ",$0 ,"$72,500 ",$0 ,"$72,500 ",Crustaceans
41,"Tadpole shrimp, vernal pool (Lepiduruspackardi)",E,"$306,680 ",$0 ,"$306,680 ",$0 ,"$306,680 ",Crustaceans
,Crustaceans Subtotal,,"$1,077,526 ",$0 ,"$1,077,526 ",$0 ,"$1,077,526 ",
,Crustaceans Subtotal Verified,,"$1,077,526 ",$0 ,"$1,077,526 ",$0 ,"$1,077,526 ",
,,,,,,,,
53,"Bulrush, Northeastern (Scirpusancistrochaetus)",E,$0 ,$0 ,$0 ,"$175,000 ","$175,000 ",Flowering Plants
66,"Bush-clover, prairie (Lespedezaleptostachya)",T,$0 ,$0 ,$0 ,"$51,000 ","$51,000 ",Flowering Plants
73,"Cactus, Kuenzler hedgehog(Echinocereus fendleri var. kuenzleri)",E,$0 ,"$20,000 ","$20,000 ",$0 ,"$20,000 ",Flowering Plants
78,"Centaury, spring-loving (Centauriumnamophilum)",T,"$11,088 ",$0 ,"$11,088 ",$0 ,"$11,088 ",Flowering Plants
25,"Coneflower, smooth (Echinacea laevigata)",E,"$250,000 ",$0 ,"$250,000 ","$630,000 ","$880,000 ",Flowering Plants
42,"Ground-plum, Guthrie's (=Pyne's)(Astragalus bibullatus)",E,"$276,000 ",$0 ,"$276,000 ",$0 ,"$276,000 ",Flowering Plants
40,"Iris, dwarf lake (Iris lacustris)",T,$0 ,$0 ,$0 ,"$340,000 ","$340,000 ",Flowering Plants
79,"Ivesia, Ash Meadows (Ivesia kingii var.eremica)",T,"$7,573 ",$0 ,"$7,573 ",$0 ,"$7,573 ",Flowering Plants
10,"Joint-vetch, sensitive (Aeschynomenevirginica)",T,"$2,077,769 ",$0 ,"$2,077,769 ",$0 ,"$2,077,769 ",Flowering Plants
9,"Ladies'-tresses, Ute (Spiranthes diluvialis)",T,$0 ,"$2,270,000 ","$2,270,000 ",$0 ,"$2,270,000 ",Flowering Plants
39,"Meadowfoam, Butte County (Limnanthesfloccosa ssp. californica)",E,$0 ,"$343,500 ","$343,500 ",$0 ,"$343,500 ",Flowering Plants
77,"Milk-vetch, Ash meadows (Astragalusphoenix)",T,"$12,208 ",$0 ,"$12,208 ",$0 ,"$12,208 ",Flowering Plants
80,"Monkshood, northern wild (Aconitumnoveboracense)",T,$0 ,$0 ,$0 ,"$7,000 ","$7,000 ",Flowering Plants
61,"Naupaka, dwarf (Scaevola coriacea)",E,$0 ,"$122,860 ","$122,860 ",$0 ,"$122,860 ",Flowering Plants
69,Geocarpon minimum (=Sci name),T,$0 ,$0 ,$0 ,"$36,000 ","$36,000 ",Flowering Plants
62,"Orchid, eastern prairie fringed(Platanthera leucophaea)",T,$0 ,$0 ,$0 ,"$101,625 ","$101,625 ",Flowering Plants
42,"Prairie-clover, leafy (Dalea foliosa)",E,"$276,000 ",$0 ,"$276,000 ",$0 ,"$276,000 ",Flowering Plants
64,"Sunflower, Eggert's (Helianthus eggertii)",T,"$72,500 ",$0 ,"$72,500 ",$0 ,"$72,500 ",Flowering Plants
55,"Sunflower, Schweinitz's (Helianthusschweinitzii)",E,$0 ,$0 ,$0 ,"$160,000 ","$160,000 ",Flowering Plants
67,"Sunray, Ash Meadows (Enceliopsisnudicaulis var. corrugata)",T,"$38,661 ",$0 ,"$38,661 ",$0 ,"$38,661 ",Flowering Plants
27,"Tarplant, Otay (Deinandra (=Hemizonia)conjugens)",T,"$783,333 ",$0 ,"$783,333 ",$0 ,"$783,333 ",Flowering Plants
49,"Water-umbel, Huachuca (Lilaeopsisschaffneriana var. recurva)",E,$0 ,"$208,000 ","$208,000 ",$0 ,"$208,000 ",Flowering Plants
45,"Wooly-threads, San Joaquin (Monolopia(=Lembertia) congdonii)",E,$0 ,"$259,500 ","$259,500 ",$0 ,"$259,500 ",Flowering Plants
,Flowering Plants Subtotal,,"$3,805,132 ","$3,223,860 ","$7,028,992 ","$1,500,625 ","$8,529,617 ",
,Flowering Plants Subtotal Verified,,"$3,805,132 ","$3,223,860 ","$7,028,992 ","$1,500,625 ","$8,529,617 ",
,,,,,,,,
46,"Quillwort, black spored (Isoetesmelanospora)",E,"$250,000 ",$0 ,"$250,000 ",$0 ,"$250,000 ",Ferns and Allies
,Ferns and Allies Subtotal,,"$250,000 ",$0 ,"$250,000 ",$0 ,"$250,000 ",
,Ferns and Allies Subtotal Verified,,"$250,000 ",$0 ,"$250,000 ",$0 ,"$250,000 ",
,,,,,,,,
,Total Land Expenditures for FY2005,,"$32,294,133 ","$43,736,127 ","$76,030,260 ","$6,203,851 ","$82,234,111 ",
,Other ESA Expenses,,"$26,271,115 ","$1,056,567 ","$27,327,682 ","$12,223,000 ","$39,550,682 ",
,"Total Land/Other ESA Land Expendituresfor FY2005",,"$58,565,248 ","$44,792,694 ","$103,357,942 ","$18,426,851 ","$121,784,793 ",
,,,,,,,,
,Total Land Expenditures for FY2005 Verified,,"$32,294,133 ","$43,736,127 ","$76,030,260 ","$6,203,851 ","$82,234,111 ",
,Other ESA Expenses Verified,,,,,,,
,Total Land/Other ESA Land Expenditures for FY2005 Verified,,,,,,,
