Rank,Species (50 CFR Part 17),Status,"Species Total($)","CumulativeTotal ($)","CumulativePercent"
113,"Water-umbel, Huachuca (Lilaeopsis schaffneriana var. recurva)",E,"499,600","667,424,313",92.8
114,"Chub, spotfin (Cyprinella monacha)",T,"491,200","667,915,513",92.87
115,Spikedace (Meda fulgida),T,"484,001","668,399,514",92.93
116,"Minnow, loach (Tiaroga cobitis)",T,"482,978","668,882,492",93.0
117,"Pelican, brown (Pelecanus occidentalis)",E,"481,260","669,363,752",93.07
118,"Smelt, delta (Hypomesus transpacificus)",T,"477,900","669,841,652",93.13
119,"Salamander, flatwoods (Ambystoma cingulatum)",T,"474,761","670,316,413",93.2
120,"Rail, Guam (Rallus owstoni)",E,"461,000","670,777,413",93.26
121,"Pearlymussel, littlewing (Pegias fabula)",E,"458,800","671,236,213",93.33
122,"Toad, arroyo (=arroyo southwestern) (Bufo californicus(=microscaphus))",E,"456,234","671,692,447",93.39
123,"Elktoe, Appalachian (Alasmidonta raveneliana)",E,"452,400","672,144,847",93.45
124,"Topminnow, Gila (incl. Yaqui) (Poeciliopsis occidentalis)",E,"444,776","672,589,623",93.52
125,"Shrike, San Clemente loggerhead (Lanius ludovicianus mearnsi)",E,"444,439","673,034,062",93.58
126,"Wedgemussel, dwarf (Alasmidonta heterodon)",E,"435,915","673,469,977",93.64
127,"Spiraea, Virginia (Spiraea virginiana)",T,"434,200","673,904,177",93.7
128,"Kangaroo rat, San Bernardino Merriam's (Dipodomys merriamiparvus)",E,"432,692","674,336,869",93.76
129,"Mucket, pink (pearlymussel) (Lampsilis abrupta)",E,"427,555","674,764,424",93.82
130,"Rail, Yuma clapper (Rallus longirostris yumanensis)",E,"418,580","675,183,004",93.88
131,"Sucker, Santa Ana (Catostomus santaanae)",T,"413,782","675,596,786",93.93
132,"Splittail, Sacramento (Pogonichthys macrolepidotus)",T,"413,200","676,009,986",93.99
133,"Trout, greenback cutthroat (Oncorhynchus clarki stomias)",T,"410,244","676,420,230",94.05
134,"Beetle, valley elderberry longhorn (Desmocerus californicusdimorphus)",T,"393,400","676,813,630",94.1
135,"Gnatcatcher, coastal California (Polioptila californica californica)",T,"393,365","677,206,995",94.16
136,"Duck, Hawaiian (=koloa) (Anas wyvilliana)",E,"386,694","677,593,689",94.21
137,"Stilt, Hawaiian (Himantopus mexicanus knudseni)",E,"379,559","677,973,248",94.27
138,"Falcon, northern aplomado (Falco femoralis septentrionalis)",E,"369,444","678,342,692",94.32
139,"Prairie dog, Utah (Cynomys parvidens)",T,"357,015","678,699,707",94.37
140,"Ladies'-tresses, Ute (Spiranthes diluvialis)",T,"350,787","679,050,494",94.42
141,"Mussel, oyster (Epioblasma capsaeformis)",E,"346,600","679,397,094",94.46
142,"Squirrel, northern Idaho ground (Spermophilus brunneus brunneus)",T,"346,563","679,743,657",94.51
143,"Amaranth, seabeach (Amaranthus pumilus)",T,"345,948","680,089,605",94.56
144,"Crane, Mississippi sandhill (Grus canadensis pulla)",E,"345,196","680,434,801",94.61
145,"Deer, key (Odocoileus virginianus clavium)",E,"337,100","680,771,901",94.65
146,"Sturgeon, Alabama (Scaphirhynchus suttkusi)",E,"333,100","681,105,001",94.7
147,"Riffleshell, northern (Epioblasma torulosa rangiana)",E,"325,766","681,430,767",94.75
148,Pondberry (Lindera melissifolia),E,"322,600","681,753,367",94.79
149,"Goby, tidewater (Eucyclogobius newberryi)",E,"318,847","682,072,214",94.84
150,"Rail, California clapper (Rallus longirostris obsoletus)",E,"316,056","682,388,270",94.88
151,"Pearlymussel, birdwing (Conradilla caelata)",E,"312,225","682,700,495",94.92
152,"Snail, Utah valvata (Valvata utahensis)",E,"310,700","683,011,195",94.97
153,"Chaffseed, American (Schwalbea americana)",E,"302,400","683,313,595",95.01
154,"Monkeyface, Cumberland (pearlymussel) (Quadrula intermedia)",E,"299,800","683,613,395",95.05
155,"Pigtoe, oval (Pleurobema pyriforme)",E,"293,600","683,906,995",95.09
156,"Monkshood, northern wild (Aconitum noveboracense)",T,"291,600","684,198,595",95.13
157,"Pocketbook, shinyrayed (Lampsilis subangulata)",E,"280,725","684,479,320",95.17
158,"Fritillary, Gentner's (Fritillaria gentneri)",E,"273,950","684,753,270",95.21
159,"Paintbrush, ash-grey (Castilleja cinerea)",T,"272,735","685,026,005",95.25
159,"Bluegrass, San Bernardino (Poa atropurpurea)",E,"272,735","685,298,740",95.28
159,"Taraxacum, California (Taraxacum californicum)",E,"272,735","685,571,475",95.32
159,"Checker-mallow, pedate (Sidalcea pedata)",E,"272,735","685,844,210",95.36
159,"Mustard, slender-petaled (Thelypodium stenopetalum)",E,"272,735","686,116,945",95.4
164,"Sandwort, Bear Valley (Arenaria ursina)",T,"265,935","686,382,880",95.43
164,"Wild-buckwheat, southern mountain (Eriogonum kennedyi var.austromontanum)",T,"265,935","686,648,815",95.47
166,"Moccasinshell, Gulf (Medionidus penicillatus)",E,"263,400","686,912,215",95.51
167,"Bat, lesser long-nosed (Leptonycteris curasoae yerbabuenae)",E,"263,109","687,175,324",95.54
168,"Kite, Everglade snail (Rostrhamus sociabilis plumbeus)",E,"260,800","687,436,124",95.58
169,"Tern, roseate (Sterna dougallii dougallii)","E,T","259,100","687,695,224",95.62
170,"Mouse, salt marsh harvest (Reithrodontomys raviventris)",E,"255,377","687,950,601",95.65
171,"Orchid, western prairie fringed (Platanthera praeclara)",T,"255,255","688,205,856",95.69
172,"Moorhen, Hawaiian common (Gallinula chloropus sandvicensis)",E,"254,588","688,460,444",95.72
173,"Milk-vetch, Lane Mountain (Astragalus jaegerianus)",E,"253,500","688,713,944",95.76
174,"Blackbird, yellow-shouldered (Agelaius xanthomus)",E,"252,000","688,965,944",95.79
175,"Toad, Houston (Bufo houstonensis)",E,"251,050","689,216,994",95.83
176,"Mapleleaf, winged (mussel) (Quadrula fragosa)",E,"244,000","689,460,994",95.86
177,"Megapode, Micronesian (Megapodius laperouse)",E,"241,100","689,702,094",95.9
178,"Snake, eastern indigo (Drymarchon corais couperi)",T,"239,025","689,941,119",95.93
179,"Swiftlet, Mariana gray (Aerodramus vanikorensis bartschi)",E,"238,235","690,179,354",95.96
180,"Beetle, American burying (Nicrophorus americanus)",E,"233,227","690,412,581",95.99
181,"Caribou, woodland (Rangifer tarandus caribou)",E,"229,222","690,641,803",96.03
182,"Petrel, Hawaiian dark-rumped (Pterodroma phaeopygiasandwichensis)",E,"227,200","690,869,003",96.06
183,"Heelsplitter, Carolina (Lasmigona decorata)",E,"224,200","691,093,203",96.09
184,"Butterfly, mission blue (Icaricia icarioides missionensis)",E,"224,000","691,317,203",96.12
185,"Coot, Hawaiian (Fulica americana alai)",E,"223,907","691,541,110",96.15
186,Woundfin (Plagopterus argentissimus),E,"221,800","691,762,910",96.18
187,"Pimpleback, orangefoot (pearlymussel) (Plethobasus cooperianus)",E,"217,025","691,979,935",96.21
188,"Shiner, blue (Cyprinella caerulea)",T,"215,026","692,194,961",96.24
189,"Squirrel, Delmarva Peninsula fox (Sciurus niger cinereus)",E,"212,500","692,407,461",96.27
190,"Seagrass, Johnson's (Halophila johnsonii)",T,"207,300","692,614,761",96.3
191,"Rabbit, pygmy (Brachylagus idahoensis)",EmE,"196,900","692,811,661",96.33
192,"Pupfish, desert (Cyprinodon macularius)",E,"193,982","693,005,643",96.36
193,"Spineflower, Monterey (Chorizanthe pungens var. pungens)",T,"189,600","693,195,243",96.38
194,"Crow, Hawaiian (='alala) (Corvus hawaiiensis)",E,"188,334","693,383,577",96.41
195,"Snails, Oahu tree (Achatinella spp.)",E,"187,863","693,571,440",96.43
196,"Pocketbook, finelined (Lampsilis altilis)",T,"185,623","693,757,063",96.46
197,"Pocketbook, fat (Potamilus capax)",E,"184,300","693,941,363",96.49
198,"Butterweed, Layne's (Senecio layneae)",T,"184,000","694,125,363",96.51
199,"Darter, goldline (Percina aurolineata)",T,"182,536","694,307,899",96.54
200,"Clubshell, southern (Pleurobema decisum)",E,"180,623","694,488,522",96.56
201,"Daisy, Parish's (Erigeron parishii)",T,"179,230","694,667,752",96.59
202,"Mouse, southeastern beach (Peromyscus polionotus niveiventris)",T,"177,300","694,845,052",96.61
203,"Buckwheat, cushenbury (Eriogonum ovalifolium var. vineum)",E,"175,230","695,020,282",96.64
203,"Oxytheca, cushenbury (Oxytheca parishii var. goodmaniana)",E,"175,230","695,195,512",96.66
205,"Bladderpod, San Bernardino Mountains (Lesquerella kingii ssp.bernardina)",E,"174,230","695,369,742",96.68
206,"Shiner, Cahaba (Notropis cahabae)",E,"173,511","695,543,253",96.71
207,"Snail, tulotoma (Tulotoma magnifica)",E,"172,589","695,715,842",96.73
208,Po`ouli (honeycreeper) (Melamprosops phaeosoma),E,"170,000","695,885,842",96.76
208,"Toad, Wyoming (Bufo baxteri (=hemiophrys))",E,"170,000","696,055,842",96.78
210,Clubshell (Pleurobema clava),E,"164,766","696,220,608",96.8
211,"Mucket, orangenacre (Lampsilis perovalis)",T,"158,623","696,379,231",96.82
212,"Gilia, Monterey (Gilia tenuiflora ssp. arenaria)",E,"158,512","696,537,743",96.85
213,"Snail, Iowa Pleistocene (Discus macclintocki)",E,"158,000","696,695,743",96.87
214,"Deer, Columbian white-tailed (Odocoileus virginianus leucurus)",E,"157,509","696,853,252",96.89
215,"Clubshell, ovate (Pleurobema perovatum)",E,"156,623","697,009,875",96.91
216,"Moccasinshell, Alabama (Medionidus acutissimus)",T,"154,489","697,164,364",96.93
217,"Pigtoe, rough (Pleurobema plenum)",E,"154,455","697,318,819",96.96
218,"Hawk, Hawaiian (='lo) (Buteo solitarius)",E,"154,281","697,473,100",96.98
219,"Trout, Apache (Oncorhynchus apache)",T,"153,200","697,626,300",97.0
220,"Pigtoe, dark (Pleurobema furvum)",E,"152,989","697,779,289",97.02
221,"Spineflower, slender-horned (Dodecahema leptoceras)",E,"152,700","697,931,989",97.04
222,"Sunflower, Eggert's (Helianthus eggertii)",T,"150,950","698,082,939",97.06
223,"Abalone, White (Haliotis sorenseni)",E,"150,000","698,232,939",97.08
224,"Moccasinshell, Coosa (Medionidus parvulus)",E,"149,989","698,382,928",97.1
225,"Kidneyshell, triangular (Ptychobranchus greeni)",E,"148,989","698,531,917",97.12
226,"Butterfly, Quino checkerspot (Euphydryas editha quino (=E. e.wrighti))",E,"148,851","698,680,768",97.14
227,"Combshell, upland (Epioblasma metastriata)",E,"147,989","698,828,757",97.17
228,"Acornshell, southern (Epioblasma othcaloogensis)",E,"145,989","698,974,746",97.19
229,"Woolly-star, Santa Ana River (Eriastrum densifolium ssp. sanctorum)",E,"145,000","699,119,746",97.21
230,"Logperch, Roanoke (Percina rex)",E,"144,065","699,263,811",97.23
231,"Skipper, Carson wandering (Pseudocopaeodes eunus obscurus)","E,EmE","140,800","699,404,611",97.25
232,"Darter, Niangua (Etheostoma nianguae)",T,"138,500","699,543,111",97.26
233,"Butterfly, Oregon silverspot (Speyeria zerene hippolyta)",T,"137,540","699,680,651",97.28
234,"Bat, Hawaiian hoary (Lasiurus cinereus semotus)",E,"137,496","699,818,147",97.3
235,"Sparrow, San Clemente sage (Amphispiza belli clementeae)",T,"135,866","699,954,013",97.32
236,"Wallflower, Menzies' (Erysimum menziesii)",E,"131,100","700,085,113",97.34
237,"Loosestrife, rough-leaved (Lysimachia asperulaefolia)",E,"131,082","700,216,195",97.36
238,"Sparrow, Florida grasshopper (Ammodramus savannarumfloridanus)",E,"131,000","700,347,195",97.38
239,"Frog, Mississippi gopher (Rana capito sevosa)",E,"130,600","700,477,795",97.39
239,"Tarplant, Otay (Deinandra (=Hemizonia) conjugens)",T,"130,600","700,608,395",97.41
241,"Milk-vetch, Ventura Marsh (Astragalus pycnostachyus var.lanosissimus)",E,"129,200","700,737,595",97.43
242,"Bat, Ozark big-eared (Corynorhinus (=Plecotus) townsendii ingens)",E,"129,100","700,866,695",97.45
243,"Mouse, Choctawhatchee beach (Peromyscus polionotus allophrys)",E,"129,050","700,995,745",97.47
244,"Layia, beach (Layia carnosa)",E,"129,000","701,124,745",97.48
245,"Shiner, Arkansas River (Notropis girardi)",T,"128,707","701,253,452",97.5
246,"Milk-vetch, Peirson's (Astragalus magdalenae var. peirsonii)",T,"127,000","701,380,452",97.52
247,"Butterfly, Palos Verdes blue (Glaucopsyche lygdamuspalosverdesensis)",E,"126,100","701,506,552",97.54
248,"Pogonia, small whorled (Isotria medeoloides)",T,"122,574","701,629,126",97.55
249,"Cavesnail, Tumbling Creek (Antrobia culveri)","E,EmE","121,200","701,750,326",97.57
250,"Dragonfly, Hine's emerald (Somatochlora hineana)",E,"120,700","701,871,026",97.59
251,"Boa, Puerto Rican (Epicrates inornatus)",E,"118,803","701,989,829",97.6
252,"Darter, leopard (Percina pantherina)",T,"116,350","702,106,179",97.62
253,"Cactus, Pima pineapple (Coryphantha scheeri var. robustispina)",E,"116,200","702,222,379",97.64
254,"Chub, Oregon (Oregonichthys crameri)",E,"116,100","702,338,479",97.65
255,"Mouse, Perdido Key beach (Peromyscus polionotus trissyllepsis)",E,"114,850","702,453,329",97.67
256,"Spinedace, White River (Lepidomeda albivallis)",E,"114,500","702,567,829",97.68
257,"Lizard, Coachella Valley fringe-toed (Uma inornata)",T,"113,600","702,681,429",97.7
258,"Woodrat, Key Largo (Neotoma floridana smalli)",E,"113,100","702,794,529",97.72
259,"Trout, Gila (Oncorhynchus gilae)",E,"110,450","702,904,979",97.73
260,"Elepaio, Oahu (Chasiempis sandwichensis ibidis)",E,"106,173","703,011,152",97.75
261,"Bladderpod, Missouri (Lesquerella filiformis)",E,"105,500","703,116,652",97.76
262,"Bean, Cumberland (pearlymussel) (Villosa trabalis)",E,"103,925","703,220,577",97.78
263,"Woodrat, riparian (=San Joaquin Valley) (Neotoma fuscipes riparia)",E,"103,300","703,323,877",97.79
264,"Evening-primrose, San Benito (Camissonia benitensis)",T,"103,100","703,426,977",97.8
265,Fanshell (Cyprogenia stegaria),E,"101,066","703,528,043",97.82
266,"Frog, Chiricahua leopard (Rana chiricahuensis)",T,"99,400","703,627,443",97.83
267,"Chub, Mohave tui (Gila bicolor mohavensis)",E,"98,700","703,726,143",97.85
268,"Dace, Moapa (Moapa coriacea)",E,"98,390","703,824,533",97.86
269,"Amole, purple (Chlorogalum purpureum)",T,"98,360","703,922,893",97.87
270,"Kingfisher, Guam Micronesian (Halcyon cinnamomina cinnamomina)",E,"97,500","704,020,393",97.89
271,"Rabbit, Lower Keys marsh (Sylvilagus palustris hefneri)",E,"96,100","704,116,493",97.9
272,"Amphipod, Illinois cave (Gammarus acherondytes)",E,"95,500","704,211,993",97.91
273,"Duck, Laysan (Anas laysanensis)",E,"94,980","704,306,973",97.93
274,"Salamander, Barton Springs (Eurycea sosorum)",E,"93,850","704,400,823",97.94
275,"Cavefish, Ozark (Amblyopsis rosae)",T,"93,400","704,494,223",97.95
276,"Bat, Mariana fruit (=Mariana flying fox) (Pteropus mariannusmariannus)",E,"90,700","704,584,923",97.97
277,"Rail, light-footed clapper (Rallus longirostris levipes)",E,"90,604","704,675,527",97.98
278,"Ambersnail, Kanab (Oxyloma haydeni kanabensis)",E,"90,568","704,766,095",97.99
279,"Prairie-chicken, Attwater's greater (Tympanuchus cupido attwateri)",E,"89,905","704,856,000",98.0
280,"Trout, Paiute cutthroat (Oncorhynchus clarki seleniris)",T,"87,800","704,943,800",98.02
281,"Butterfly, Smith's blue (Euphilotes enoptes smithi)",E,"86,700","705,030,500",98.03
282,"Crocodile, American (Crocodylus acutus)",E,"85,000","705,115,500",98.04
283,Harperella (Ptilimnium nodosum),E,"84,646","705,200,146",98.05
284,"Bush-clover, prairie (Lespedeza leptostachya)",T,"84,000","705,284,146",98.06
285,"Kangaroo rat, Morro Bay (Dipodomys heermanni morroensis)",E,"83,800","705,367,946",98.07
286,"Salamander, Sonora tiger (Ambystoma tigrinum stebbinsi)",E,"82,885","705,450,831",98.09
287,"Thelypody, Howell's spectacular (Thelypodium howellii spectabilis)",T,"81,600","705,532,431",98.1
288,"Darter, boulder (Etheostoma wapiti)",E,"81,500","705,613,931",98.11
289,"Turtle, flattened musk (Sternotherus depressus)",T,"80,600","705,694,531",98.12
290,"Mussel, scaleshell (Leptodea leptodon)",E,"79,400","705,773,931",98.13
291,"Spinedace, Little Colorado (Lepidomeda vittata)",T,"78,950","705,852,881",98.14
292,"Thistle, Pitcher's (Cirsium pitcheri)",T,"78,850","705,931,731",98.15
293,"Moth, Blackburn's sphinx (Manduca blackburni)",E,"77,720","706,009,451",98.16
294,"Squirrel, Mount Graham red (Tamiasciurus hudsonicusgrahamensis)",E,"76,900","706,086,351",98.17
295,"Four-o'clock, MacFarlane's (Mirabilis macfarlanei)",T,"74,845","706,161,196",98.18
296,"Mouse, Pacific pocket (Perognathus longimembris pacificus)",E,"73,600","706,234,796",98.19
297,A`e (Zanthoxylum hawaiiense),E,"72,642","706,307,438",98.2
