Rank,Species (50 CFR Part 17),Status,"SpeciesTotal","CumulativeTotal","CumulativePercent"
557,"Cactus, Sneed pincushion (Coryphantha sneedii var. sneedii)",E,"$30,400","$787,689,603",99.32
558,"Puma (=cougar), eastern (Puma (=Felis) concolor couguar)",E,"$30,386","$787,719,989",99.32
559,"`Akoko, Ewa Plains (Chamaesyce skottsbergii var. kalaeloana)",E,"$30,363","$787,750,352",99.32
560,"Lead-plant, Crenulate (Amorpha crenulata)",E,"$30,300","$787,780,652",99.33
561,"Darter, duskytailEntire (Etheostoma percnurum)",E,"$30,210","$787,810,862",99.33
562,Opuhe (Urera kaalae),E,"$30,005","$787,840,867",99.33
563,"Rabbitsfoot, rough (Quadrula cylindrica strigillata)",E,"$30,000","$787,870,867",99.34
564,"Thistle, Pitcher's (Cirsium pitcheri)",T,"$29,998","$787,900,865",99.34
565,"Woolly-star, Hoover's (Eriastrum hooveri)",T,"$29,770","$787,930,635",99.35
566,"Shrimp, California freshwater (Syncaris pacifica)",E,"$29,577","$787,960,212",99.35
567,"Pigtoe, heavy (Pleurobema taitianum)",E,"$29,500","$787,989,712",99.35
568,"Combshell, southern (Epioblasma penita)",E,"$29,400","$788,019,112",99.36
569,"Darter, fountain (Etheostoma fonticola)",E,"$29,370","$788,048,482",99.36
570,"Button, Mohr's Barbara (Marshallia mohrii)",T,"$29,300","$788,077,782",99.36
571,"Clubshell, black (Pleurobema curtum)",E,"$29,100","$788,106,882",99.37
572,"Crayfish, Nashville (Orconectes shoupi)",E,"$29,000","$788,135,882",99.37
573,"Creeper, Hawaii (Oreomystis mana)",E,"$28,988","$788,164,870",99.38
574,"Akepa, Hawaii (honeycreeper) (Loxops coccineus coccineus)",E,"$28,821","$788,193,691",99.38
575,"Gilia, Monterey (Gilia tenuiflora ssp. arenaria)",E,"$28,812","$788,222,503",99.38
576,Phyllostegia mollis (=Sci name),E,"$28,038","$788,250,541",99.39
577,Popolo ku mai (Solanum incompletum),E,"$27,416","$788,277,957",99.39
578,"Pigtoe, Cumberland (Pleurobema gibberum)",E,"$27,132","$788,305,089",99.39
579,"Pentachaeta, Lyon's (Pentachaeta lyonii)",E,"$27,090","$788,332,179",99.4
580,"Lessingia, San Francisco (Lessingia germanorum (=L.g. var.germanorum))",E,"$27,066","$788,359,245",99.4
581,Nukupu`u (honeycreeper) (Hemignathus lucidus),E,"$27,034","$788,386,279",99.4
582,"Bobwhite, masked (quail) (Colinus virginianus ridgwayi)",E,"$27,000","$788,413,279",99.41
582,"Iguana, Mona ground (Cyclura cornuta stejnegeri)",T,"$27,000","$788,440,279",99.41
584,"Rosemary, Cumberland (Conradina verticillata)",T,"$26,963","$788,467,242",99.41
585,"Akepa, Maui (honeycreeper) (Loxops coccineus ochraceus)",E,"$26,867","$788,494,109",99.42
586,"Limpet, Banbury Springs (Lanx sp.)",E,"$26,728","$788,520,837",99.42
587,Honohono (Haplostachys haplostachya),E,"$26,680","$788,547,517",99.42
587,Silene hawaiiensis (=Sci name),T,"$26,680","$788,574,197",99.43
589,Lobelia oahuensis (=Sci name),E,"$26,537","$788,600,734",99.43
590,Lobelia gaudichaudii ssp. koolauensis (=Sci name),E,"$26,519","$788,627,253",99.43
590,Ha`iwale (Cyrtandra subumbellata),E,"$26,519","$788,653,772",99.44
592,"Yellowhead, desert (Yermo xanthocephalus)",T,"$26,437","$788,680,209",99.44
593,"Spinedace, Big Spring (Lepidomeda mollispinis pratensis)",T,"$26,271","$788,706,480",99.44
594,"Beauty, Harper's (Harperocallis flava)",E,"$26,200","$788,732,680",99.45
595,"Chub, Sonora (Gila ditaenia)",T,"$26,000","$788,758,680",99.45
595,"Leather flower, Alabama (Clematis socialis)",E,"$26,000","$788,784,680",99.45
597,Geocarpon minimum (=Sci name),T,"$25,825","$788,810,505",99.46
598,"Darter, goldline (Percina aurolineata)",T,"$25,700","$788,836,205",99.46
599,"Moccasinshell, Coosa (Medionidus parvulus)",E,"$25,600","$788,861,805",99.46
600,"Campion, fringed (Silene polypetala)",E,"$25,310","$788,887,115",99.47
601,Kiponapona (Phyllostegia racemosa),E,"$25,254","$788,912,369",99.47
602,"Fairy shrimp, longhorn (Branchinecta longiantenna)",E,"$25,090","$788,937,459",99.47
603,"Stickseed, showy (Hackelia venusta)",E,"$24,967","$788,962,426",99.48
604,"Whipsnake (=striped racer), Alameda (Masticophis lateraliseuryxanthus)",T,"$24,701","$788,987,127",99.48
605,"Irisette, white (Sisyrinchium dichotomum)",E,"$24,700","$789,011,827",99.48
606,"Tarplant, Gaviota (Deinandra increscens ssp. villosa)",E,"$24,696","$789,036,523",99.49
607,"Ischaemum, Hilo (Ischaemum byrone)",E,"$24,515","$789,061,038",99.49
608,"Springsnail, Bruneau Hot (Pyrgulopsis bruneauensis)",E,"$24,368","$789,085,406",99.49
609,"Townsendia, Last Chance (Townsendia aprica)",T,"$24,300","$789,109,706",99.49
610,"Avens, spreading (Geum radiatum)",E,"$24,200","$789,133,906",99.5
611,Stenogyne angustifolia var. angustifolia (=Sci name),E,"$24,031","$789,157,937",99.5
612,"Ma`o hau hele, (=native yellow hibiscus) (Hibiscus brackenridgei)",E,"$23,887","$789,181,824",99.5
613,"Shrike, San Clemente loggerhead (Lanius ludovicianus mearnsi)",E,"$23,880","$789,205,704",99.51
614,"Crownscale, San Jacinto Valley (Atriplex coronata var. notatior)",E,"$23,867","$789,229,571",99.51
615,"Acornshell, southern (Epioblasma othcaloogensis)",E,"$23,600","$789,253,171",99.51
615,"Bedstraw, El Dorado (Galium californicum ssp. sierrae)",E,"$23,600","$789,276,771",99.52
617,"Butterweed, Layne's (Senecio layneae)",T,"$23,483","$789,300,254",99.52
618,"Madtom, yellowfinexcept where XN (Noturus flavipinnis)",T,"$23,200","$789,323,454",99.52
619,"Owl's-clover, fleshy (Castilleja campestris ssp. succulenta)",T,"$23,079","$789,346,533",99.52
620,"Sandwort, Cumberland (Arenaria cumberlandensis)",E,"$22,993","$789,369,526",99.53
621,Haha (Cyanea shipmannii),E,"$22,988","$789,392,514",99.53
622,"Catspaw, white (pearlymussel) (Epioblasma obliquata perobliqua)",E,"$22,910","$789,415,424",99.53
623,"Cactus, Wright fishhook (Sclerocactus wrightiae)",E,"$22,900","$789,438,324",99.54
624,"Tern, roseateWestern Hemisphere except NE U.S. (Sterna dougallii dougallii)",T,"$22,820","$789,461,144",99.54
625,"Cactus, Brady pincushion (Pediocactus bradyi)",E,"$22,700","$789,483,844",99.54
626,"Skink, bluetail mole (Eumeces egregius lividus)",T,"$22,200","$789,506,044",99.54
627,"Milk-vetch, Sentry (Astragalus cremnophylax var. cremnophylax)",E,"$22,000","$789,528,044",99.55
627,"Snowbells, Texas (Styrax texanus)",E,"$22,000","$789,550,044",99.55
629,"Warbler (=wood), Bachman's (Vermivora bachmanii)",E,"$21,900","$789,571,944",99.55
629,"Morning-glory, Stebbins' (Calystegia stebbinsii)",E,"$21,900","$789,593,844",99.56
629,"Ceanothus, Pine Hill (Ceanothus roderickii)",E,"$21,900","$789,615,744",99.56
632,Palo de rosa (Ottoschulzia rhodoxylon),E,"$21,500","$789,637,244",99.56
633,"Tarplant, Santa Cruz (Holocarpha macradenia)",T,"$21,302","$789,658,546",99.56
634,"Chub, slender (Erimystax cahni)",T,"$21,000","$789,679,546",99.57
634,"Wild-buckwheat, gypsum (Eriogonum gypsophilum)",T,"$21,000","$789,700,546",99.57
636,`Oha wai (Clermontia lindseyana),E,"$20,930","$789,721,476",99.57
637,"Onion, Munz's (Allium munzii)",E,"$20,407","$789,741,883",99.57
638,"Tiger beetle, northeastern beach (Cicindela dorsalis dorsalis)",T,"$20,400","$789,762,283",99.58
638,"Butterwort, Godfrey's (Pinguicula ionantha)",T,"$20,400","$789,782,683",99.58
640,Wireweed (Polygonella basiramia),E,"$20,300","$789,802,983",99.58
640,"Agave, Arizona (Agave arizonica)",E,"$20,300","$789,823,283",99.58
642,"Wallflower, Menzies' (Erysimum menziesii)",E,"$20,244","$789,843,527",99.59
643,"Hawk, Puerto Rican broad-winged (Buteo platypterus brunnescens)",E,"$20,000","$789,863,527",99.59
643,"Cooter (=turtle), northern redbelly (=Plymouth) (Pseudemysrubriventris bangsi)",E,"$20,000","$789,883,527",99.59
643,Guajon (Eleutherodactylus cooki),T,"$20,000","$789,903,527",99.59
643,"Cactus, Siler pincushion (Pediocactus (=Echinocactus,=Utahia) sileri)",T,"$20,000","$789,923,527",99.6
643,"Pennyroyal, Todsen's (Hedeoma todsenii)",E,"$20,000","$789,943,527",99.6
648,"Ground-plum, Guthrie's (=Pyne's) (Astragalus bibullatus)",E,"$19,800","$789,963,327",99.6
649,"Chub, Borax Lake (Gila boraxobius)",E,"$19,746","$789,983,073",99.6
650,"Snake, Concho water (Nerodia paucimaculata)",T,"$19,647","$790,002,720",99.61
651,"Moth, Blackburn's sphinx (Manduca blackburni)",E,"$19,561","$790,022,281",99.61
652,"Chub, Pahranagat roundtail (Gila robusta jordani)",E,"$19,500","$790,041,781",99.61
653,"Daisy, lakeside (Hymenoxys herbacea)",T,"$19,470","$790,061,251",99.61
654,"Dace, Ash Meadows speckled (Rhinichthys osculus nevadensis)",E,"$19,400","$790,080,651",99.62
655,"Panicgrass, Carter's (Panicum fauriei var. carteri)",E,"$19,313","$790,099,964",99.62
656,"Pearlymussel, dromedaryEntire Range; Except where listed as Experimental Populations(Dromus dromas)",E,"$19,300","$790,119,264",99.62
657,"Butterfly, callippe silverspot (Speyeria callippe callippe)",E,"$19,256","$790,138,520",99.62
658,"Beaked-rush, Knieskern's (Rhynchospora knieskernii)",T,"$19,200","$790,157,720",99.63
659,"Crayfish, cave (Cambarus zophonastes)",E,"$18,900","$790,176,620",99.63
660,"Salamander, Texas blind (Typhlomolge rathbuni)",E,"$18,850","$790,195,470",99.63
660,"Salamander, San Marcos (Eurycea nana)",T,"$18,850","$790,214,320",99.63
662,"Gerardia, sandplain (Agalinis acuta)",E,"$18,800","$790,233,120",99.64
663,"Seablite, California (Suaeda californica)",E,"$18,706","$790,251,826",99.64
664,Ihi`ihi (Marsilea villosa),E,"$18,637","$790,270,463",99.64
665,"Crayfish, cave (Cambarus aculabrum)",E,"$18,500","$790,288,963",99.64
666,"Tiger beetle, Ohlone (Cicindela ohlone)",E,"$18,030","$790,306,993",99.65
667,"Mustard, Carter's (Warea carteri)",E,"$18,000","$790,324,993",99.65
667,"Ipomopsis, Holy Ghost (Ipomopsis sancti-spiritus)",E,"$18,000","$790,342,993",99.65
669,"Spinymussel, James (Pleurobema collina)",E,"$17,882","$790,360,875",99.65
670,"Manzanita, Morro (Arctostaphylos morroensis)",T,"$17,800","$790,378,675",99.65
671,"Spineflower, slender-horned (Dodecahema leptoceras)",E,"$17,766","$790,396,441",99.66
672,"Pitcher-plant, mountain sweet (Sarracenia rubra ssp. jonesii)",E,"$17,600","$790,414,041",99.66
673,"Gambusia, Big Bend (Gambusia gaigei)",E,"$17,500","$790,431,541",99.66
673,"Pupfish, Leon Springs (Cyprinodon bovinus)",E,"$17,500","$790,449,041",99.66
673,Pigeon wings (Clitoria fragrans),T,"$17,500","$790,466,541",99.67
676,"Cactus, Uinta Basin hookless (Sclerocactus glaucus)",T,"$17,365","$790,483,906",99.67
677,"Vole, Amargosa (Microtus californicus scirpensis)",E,"$17,306","$790,501,212",99.67
678,"Evening-primrose, Eureka Valley (Oenothera avita ssp. eurekensis)",E,"$17,000","$790,518,212",99.67
678,"Cactus, Peebles Navajo (Pediocactus peeblesianus peeblesianus)",E,"$17,000","$790,535,212",99.67
680,"Layia, beach (Layia carnosa)",E,"$16,833","$790,552,045",99.68
681,"Mallow, Kern (Eremalche kernensis)",E,"$16,831","$790,568,876",99.68
682,"Clarkia, Presidio (Clarkia franciscana)",E,"$16,725","$790,585,601",99.68
683,"Splittail, Sacramento (Pogonichthys macrolepidotus)",T,"$16,500","$790,602,101",99.68
683,Capa rosa (Callicarpa ampla),E,"$16,500","$790,618,601",99.68
685,"Milkweed, Welsh's (Asclepias welshii)",T,"$16,400","$790,635,001",99.69
686,"Butterfly, Myrtle's silverspot (Speyeria zerene myrtleae)",E,"$16,363","$790,651,364",99.69
687,"Poolfish, Pahrump (Empetrichthys latos)",E,"$16,350","$790,667,714",99.69
688,"Mouse, Anastasia Island beach (Peromyscus polionotus phasma)",E,"$16,200","$790,683,914",99.69
688,"Snail, tulotoma (Tulotoma magnifica)",E,"$16,200","$790,700,114",99.69
688,"Shrimp, Kentucky cave (Palaemonias ganteri)",E,"$16,200","$790,716,314",99.7
691,Pu`uka`a (Cyperus trachysanthos),E,"$16,180","$790,732,494",99.7
692,"Madtom, pygmy (Noturus stanauli)",E,"$16,100","$790,748,594",99.7
693,"Pitcher-plant, Alabama canebrake (Sarracenia rubra alabamensis)",E,"$16,000","$790,764,594",99.7
694,"Squirrel, Delmarva Peninsula foxU.S.A. (DE_Sussex Co.) (Sciurus niger cinereus)",EXPN,"$15,900","$790,780,494",99.71
695,"Vetch, Hawaiian (Vicia menziesii)",E,"$15,864","$790,796,358",99.71
696,Alani (Melicope adscendens),E,"$15,600","$790,811,958",99.71
697,"Dace, Foskett speckledFoskett (Rhinichthys osculus ssp.)",T,"$15,556","$790,827,514",99.71
698,"Larkspur, Baker's (Delphinium bakeri)",E,"$15,531","$790,843,045",99.71
699,"Lichen, rock gnome (Gymnoderma lineare)",E,"$15,400","$790,858,445",99.71
700,Alani (Melicope knudsenii),E,"$15,220","$790,873,665",99.72
701,"Sandalwood, Lanai (=`iliahi) (Santalum freycinetianum var. lanaiense)",E,"$15,192","$790,888,857",99.72
702,"Rocksnail, round (Leptoxis ampla)",T,"$15,000","$790,903,857",99.72
702,"Thistle, Sacramento Mountains (Cirsium vinaceum)",T,"$15,000","$790,918,857",99.72
704,`Ahinahina (Argyroxiphium sandwicense ssp. sandwicense),E,"$14,978","$790,933,835",99.72
705,"Torreya, Florida (Torreya taxifolia)",E,"$14,810","$790,948,645",99.73
706,"Madtom, smokyEntire (Noturus baileyi)",E,"$14,800","$790,963,445",99.73
707,"Lily, Minnesota dwarf trout (Erythronium propullans)",E,"$14,600","$790,978,045",99.73
708,"Chub, Yaqui (Gila purpurea)",E,"$14,500","$790,992,545",99.73
709,"Bladderpod, Zapata (Lesquerella thamnophila)",E,"$14,400","$791,006,945",99.73
710,"Milk-vetch, Jesup's (Astragalus robbinsii var. jesupi)",E,"$14,200","$791,021,145",99.74
711,"Orcutt grass, San Joaquin (Orcuttia inaequalis)",T,"$14,179","$791,035,324",99.74
712,"Cliff-rose, Arizona (Purshia (=Cowania) subintegra)",E,"$14,000","$791,049,324",99.74
713,"Beetle, Tooth Cave ground (Rhadine persephone)",E,"$13,820","$791,063,144",99.74
714,"Rice ratlower FL Keys (Oryzomys palustris natator)",E,"$13,800","$791,076,944",99.74
714,"Cactus, San Rafael (Pediocactus despainii)",E,"$13,800","$791,090,744",99.74
716,"Beetle, Comal Springs riffle (Heterelmis comalensis)",E,"$13,750","$791,104,494",99.75
717,"Lioplax, cylindrical (snail) (Lioplax cyclostomaformis)",E,"$13,700","$791,118,194",99.75
718,"Shiner, Cahaba (Notropis cahabae)",E,"$13,500","$791,131,694",99.75
718,"Spider, spruce-fir moss (Microhexura montivaga)",E,"$13,500","$791,145,194",99.75
718,"Goldenrod, white-haired (Solidago albopilosa)",T,"$13,500","$791,158,694",99.75
721,"Monkeyface, Cumberland (pearlymussel)Entire Range; Except where listed as Experimental Populations(Quadrula intermedia)",E,"$13,350","$791,172,044",99.75
722,"Roseroot, Leedy's (Sedum integrifolium ssp. leedyi)",T,"$13,200","$791,185,244",99.76
723,"Spineflower, Orcutt's (Chorizanthe orcuttiana)",E,"$13,125","$791,198,369",99.76
724,"Salamander, Cheat Mountain (Plethodon nettingi)",T,"$13,100","$791,211,469",99.76
725,Gouania vitifolia (=Sci name),E,"$13,083","$791,224,552",99.76
726,"Cactus, Bakersfield (Opuntia treleasei)",E,"$13,069","$791,237,621",99.76
727,"Madtom, Scioto (Noturus trautmani)",E,"$13,000","$791,250,621",99.76
727,"Pebblesnail, flat (Lepyrium showalteri)",E,"$13,000","$791,263,621",99.77
729,"Iris, dwarf lake (Iris lacustris)",T,"$12,680","$791,276,301",99.77
730,Lau `ehu (Panicum niihauense),E,"$12,261","$791,288,562",99.77
731,"Prickly-ash, St. Thomas (Zanthoxylum thomasianum)",E,"$12,259","$791,300,821",99.77
732,"Amphipod, Illinois cave (Gammarus acherondytes)",E,"$12,250","$791,313,071",99.77
733,"Cactus, Knowlton (Pediocactus knowltonii)",E,"$12,116","$791,325,187",99.77
734,"Jaguarundi, Sinaloan (Herpailurus (=Felis) yagouaroundi tolteca)",E,"$12,000","$791,337,187",99.78
735,"Daisy, Maguire (Erigeron maguirei)",T,"$11,900","$791,349,087",99.78
736,"Gilia, Hoffmann's slender-flowered (Gilia tenuiflora ssp. hoffmannii)",E,"$11,857","$791,360,944",99.78
737,"Aster, Ruth's golden (Pityopsis ruthii)",E,"$11,800","$791,372,744",99.78
738,"Snail, Newcomb's (Erinna newcombi)",T,"$11,778","$791,384,522",99.78
739,"Lupine, clover (Lupinus tidestromii)",E,"$11,686","$791,396,208",99.78
740,"Fatmucket, Arkansas (Lampsilis powelli)",T,"$11,600","$791,407,808",99.78
741,"Amphianthus, little (Amphianthus pusillus)",T,"$11,577","$791,419,385",99.79
742,"Mountain balm, Indian Knob (Eriodictyon altissimum)",E,"$11,540","$791,430,925",99.79
743,Haha (Cyanea stictophylla),E,"$11,483","$791,442,408",99.79
744,"Heartleaf, dwarf-flowered (Hexastylis naniflora)",T,"$11,336","$791,453,744",99.79
745,"Spider, Tooth Cave (Leptoneta myopica)",E,"$11,320","$791,465,064",99.79
746,"Lousewort, Furbish (Pedicularis furbishiae)",E,"$11,300","$791,476,364",99.79
747,Schiedea kaalae (=Sci name),E,"$11,205","$791,487,569",99.79
748,"Monarch, Tinian (old world flycatcher) (Monarcha takatsukasae)",T,"$11,202","$791,498,771",99.8
749,"Joint-vetch, sensitive (Aeschynomene virginica)",T,"$11,150","$791,509,921",99.8
750,"Pigtoe, southern (Pleurobema georgianum)",E,"$11,100","$791,521,021",99.8
751,"Darter, bayou (Etheostoma rubrum)",T,"$11,070","$791,532,091",99.8
752,"Chub, Hutton tuiHutton (Gila bicolor ssp.)",T,"$11,056","$791,543,147",99.8
753,"Grasshopper, Zayante band-winged (Trimerotropis infantilis)",E,"$11,040","$791,554,187",99.8
754,Sandlace (Polygonella myriophylla),E,"$11,000","$791,565,187",99.8
754,"Cactus, Mesa Verde (Sclerocactus mesae-verdae)",T,"$11,000","$791,576,187",99.81
756,Phyllostegia kaalaensis (=Sci name),E,"$10,992","$791,587,179",99.81
757,"Rock-cress, shale barren (Arabis serotina)",E,"$10,900","$791,598,079",99.81
758,"Beetle, Kretschmarr Cave mold (Texamaurops reddelli)",E,"$10,820","$791,608,899",99.81
759,"Turtle, Alabama red-belly (Pseudemys alabamensis)",E,"$10,700","$791,619,599",99.81
759,"Cactus, Chisos Mountain hedgehog (Echinocereus chisoensis var.chisoensis)",T,"$10,700","$791,630,299",99.81
761,"Sedge, Navajo (Carex specuicola)",T,"$10,500","$791,640,799",99.81
762,Hesperomannia arbuscula (=Sci name),E,"$10,390","$791,651,189",99.81
763,"Beetle, Comal Springs dryopid (Stygoparnus comalensis)",E,"$10,320","$791,661,509",99.82
763,"Beetle, Helotes mold (Batrisodes venyivi)",E,"$10,320","$791,671,829",99.82
765,"Cactus, black lace (Echinocereus reichenbachii var. albertii)",E,"$10,300","$791,682,129",99.82
766,"Mouse, Key Largo cotton (Peromyscus gossypinus allapaticola)",E,"$10,200","$791,692,329",99.82
767,"Spider, Government Canyon Bat Cave (Neoleptoneta microps)",E,"$10,160","$791,702,489",99.82
767,"Meshweaver, Robber Baron Cave (Cicurina baronia)",E,"$10,160","$791,712,649",99.82
767,"Meshweaver, Government Canyon Bat Cave (Cicurina vespera)",E,"$10,160","$791,722,809",99.82
767,"Meshweaver, Braken Bat Cave (Cicurina venii)",E,"$10,160","$791,732,969",99.83
771,"Bulrush, Northeastern (Scirpus ancistrochaetus)",E,"$10,080","$791,743,049",99.83
772,Kuahiwi laukahi (Plantago hawaiensis),E,"$10,006","$791,753,055",99.83
773,"Madtom, smokyTellico River, TN (Noturus baileyi)",EXPN,"$10,000","$791,763,055",99.83
773,"Darter, vermilion (Etheostoma chermocki)",E,"$10,000","$791,773,055",99.83
773,"Harvestman, Cokendolpher Cave (Texella cokendolpheri)",E,"$10,000","$791,783,055",99.83
773,"Wire-lettuce, Malheur (Stephanomeria malheurensis)",E,"$10,000","$791,793,055",99.83
773,"Spurge, telephus (Euphorbia telephioides)",T,"$10,000","$791,803,055",99.83
778,Haha (Cyanea hamatiflora carlsonii),E,"$9,961","$791,813,016",99.84
779,"Paintbrush, soft-leaved (Castilleja mollis)",E,"$9,807","$791,822,823",99.84
780,"Cactus, Winkler (Pediocactus winkleri)",T,"$9,700","$791,832,523",99.84
781,"Phacelia, island (Phacelia insularis ssp. insularis)",E,"$9,557","$791,842,080",99.84
782,"Birds-in-a-nest, white (Macbridea alba)",T,"$9,500","$791,851,580",99.84
783,Haha (Cyanea grimesiana ssp. obatae),E,"$9,382","$791,860,962",99.84
784,"Spineflower, Howell's (Chorizanthe howellii)",E,"$9,370","$791,870,332",99.84
785,"Blazingstar, Heller's (Liatris helleri)",T,"$9,200","$791,879,532",99.84
786,"Butterfly, El Segundo blue (Euphilotes battoides allyni)",E,"$9,119","$791,888,651",99.84
787,"Pupfish, Ash Meadows Amargosa (Cyprinodon nevadensismionectes)",E,"$9,100","$791,897,751",99.85
788,"Grass, Solano (Tuctoria mucronata)",E,"$9,071","$791,906,822",99.85
789,"Snail, Stock Island tree (Orthalicus reses (not incl. nesodryas))",T,"$9,000","$791,915,822",99.85
789,"Groundsel, San Francisco Peaks (Senecio franciscanus)",T,"$9,000","$791,924,822",99.85
791,"Butterfly, Schaus swallowtail (Heraclides aristodemus ponceanus)",E,"$8,700","$791,933,522",99.85
791,"Cycladenia, Jones (Cycladenia jonesii (=humilis))",T,"$8,700","$791,942,222",99.85
793,"Pseudoscorpion, Tooth Cave (Tartarocreagris texana)",E,"$8,660","$791,950,882",99.85
794,"Tiger beetle, Puritan (Cicindela puritana)",T,"$8,620","$791,959,502",99.85
795,"Pearlymussel, crackingAL; Free-Flowing Reach of the Tennessee River below the WilsonDam, Colbert and Lauderdale Counties, AL (Hemistena lata)",EXPN,"$8,600","$791,968,102",99.85
796,"Butterfly, Uncompahgre fritillary (Boloria acrocnema)",E,"$8,508","$791,976,610",99.86
797,"Frankenia, Johnston's (Frankenia johnstonii)",E,"$8,500","$791,985,110",99.86
798,"Springfish, Hiko White River (Crenichthys baileyi grandis)",E,"$8,300","$791,993,410",99.86
799,Lo`ulu (Pritchardia affinis),E,"$8,255","$792,001,665",99.86
800,"Snail, flat-spired three-toothed (Triodopsis platysayoides)",T,"$8,200","$792,009,865",99.86
801,Phyllostegia velutina (=Sci name),E,"$8,196","$792,018,061",99.86
802,"`Aiakeakua, popolo (Solanum sandwicense)",E,"$8,113","$792,026,174",99.86
803,Tetramolopium lepidotum ssp. lepidotum (=Sci name),E,"$8,101","$792,034,275",99.86
804,"Grass, Colusa (Neostapfia colusana)",T,"$8,071","$792,042,346",99.86
805,"Milk-vetch, Applegate's (Astragalus applegatei)",E,"$8,027","$792,050,373",99.87
806,`Oha wai (Clermontia pyrularia),E,"$7,895","$792,058,268",99.87
807,"Gardenia (=Na`u), Hawaiian (Gardenia brighamii)",E,"$7,835","$792,066,103",99.87
808,"Crayfish, Shasta (Pacifastacus fortis)",E,"$7,775","$792,073,878",99.87
809,Pua `ala (Brighamia rockii),E,"$7,733","$792,081,611",99.87
810,"Butterfly, lotis blue (Lycaeides argyrognomon lotis)",E,"$7,646","$792,089,257",99.87
811,"Alopecurus, Sonoma (Alopecurus aequalis var. sonomensis)",E,"$7,546","$792,096,803",99.87
812,"Chub, spotfinTellico River, TN (Cyprinella monacha)",EXPN,"$7,500","$792,104,303",99.87
812,"Logperch, Conasauga (Percina jenkinsi)",E,"$7,500","$792,111,803",99.87
812,"Darter, duskytailTellico River, TN (Etheostoma percnurum)",EXPN,"$7,500","$792,119,303",99.87
812,"Pigtoe, dark (Pleurobema furvum)",E,"$7,500","$792,126,803",99.87
812,"Fleabane, Zuni (Erigeron rhizomatus)",T,"$7,500","$792,134,303",99.88
817,"Snail, painted snake coiled forest (Anguispira picta)",T,"$7,400","$792,141,703",99.88
818,"Beetle, Coffin Cave mold (Batrisodes texanus)",E,"$7,280","$792,148,983",99.88
819,"Reed-mustard, Barneby (Schoenocrambe barnebyi)",E,"$7,200","$792,156,183",99.88
820,"Harvestman, Bee Creek Cave (Texella reddelli)",E,"$7,140","$792,163,323",99.88
821,Stirrupshell (Quadrula stapes),E,"$7,100","$792,170,423",99.88
822,"Sandwort, Marsh (Arenaria paludicola)",E,"$7,012","$792,177,435",99.88
823,"Dogweed, ashy (Thymophylla tephroleuca)",E,"$7,000","$792,184,435",99.88
823,"Cactus, Key tree (Pilosocereus robinii)",E,"$7,000","$792,191,435",99.88
823,"Iagu, Hayun (=(Guam), Tronkon guafi (Rota)) (Serianthes nelsonii)",E,"$7,000","$792,198,435",99.88
826,Phyllostegia parviflora (=Sci name),E,"$6,935","$792,205,370",99.88
827,"Dace, Kendall Warm Springs (Rhinichthys osculus thermalis)",E,"$6,925","$792,212,295",99.89
828,"Whitlow-wort, papery (Paronychia chartacea)",T,"$6,810","$792,219,105",99.89
829,"Jewelflower, California (Caulanthus californicus)",E,"$6,779","$792,225,884",99.89
830,Hau kuahiwi (Hibiscadelphus hualalaiensis),E,"$6,725","$792,232,609",99.89
831,"Trillium, persistent (Trillium persistens)",E,"$6,600","$792,239,209",99.89
832,Aupaka (Isodendrion laurifolium),E,"$6,585","$792,245,794",99.89
833,"Rattleweed, hairy (Baptisia arachnifera)",E,"$6,500","$792,252,294",99.89
833,"Rosemary, Etonia (Conradina etonia)",E,"$6,500","$792,258,794",99.89
835,"Bluet, Roan Mountain (Hedyotis purpurea var. montana)",E,"$6,400","$792,265,194",99.89
836,Ohai (Sesbania tomentosa),E,"$6,390","$792,271,584",99.89
837,"Watercress, Gambel's (Rorippa gambellii)",E,"$6,351","$792,277,935",99.89
838,Haha (Cyanea grimesiana ssp. grimesiana),E,"$6,333","$792,284,268",99.89
839,"Riversnail, Anthony'sEntire Range; Except where listed as Experimental Populations(Athearnia anthonyi)",E,"$6,300","$792,290,568",99.9
840,`Akoko (Chamaesyce herbstii),E,"$6,291","$792,296,859",99.9
841,Ko`oko`olau (Bidens micrantha ssp. kalealaha),E,"$6,233","$792,303,092",99.9
842,"Manioc, Walker's (Manihot walkerae)",E,"$6,200","$792,309,292",99.9
842,"Beargrass, Britton's (Nolina brittoniana)",E,"$6,200","$792,315,492",99.9
844,"Butterfly, San Bruno elfin (Callophrys mossii bayensis)",E,"$6,172","$792,321,664",99.9
845,"Clover, showy Indian (Trifolium amoenum)",E,"$6,123","$792,327,787",99.9
846,"Shagreen, Magazine Mountain (Mesodon magazinensis)",T,"$6,100","$792,333,887",99.9
847,Alani (Melicope pallida),E,"$6,086","$792,339,973",99.9
848,Wawae`iole (Huperzia mannii),E,"$6,085","$792,346,058",99.9
849,"Arrowhead, bunched (Sagittaria fasciculata)",E,"$6,036","$792,352,094",99.9
850,"Plum, scrub (Prunus geniculata)",E,"$6,000","$792,358,094",99.9
850,Cobana negra (Stahlia monosperma),T,"$6,000","$792,364,094",99.9
852,"Fiddleneck, large-flowered (Amsinckia grandiflora)",E,"$5,994","$792,370,088",99.91
853,Kula wahine noho (Isodendrion pyrifolium),E,"$5,969","$792,376,057",99.91
