RANK,SPECIES NAME (50 CFR PART 17),STATUS,FWS TOTAL,OTHER FED,FED TOTAL,"STATESTOTAL","SPECIES TOTAL($000)"
948.0,Ha`iwale (Cyrtandra munroi ),E,556.00,-,556.00,-,556.00
860.0,Haha (Cyanea stictophylla ),E,556.00,-,556.00,-,556.00
1061.0,"Harebells, Avon Park",E,56.00,-,56.00,-,56.00
135.0,"Howellia, water",T,48.00,-,48.00,-,48.00
707.0,"Hypericum, highlands scrub",E,56.00,-,56.00,-,56.00
372.0,"Iris, dwarf lake",T,-,-,-,40.00,40.00
570.0,"Locoweed, Fassett's",T,-,-,-,43.00,43.00
850.0,"Lupine, scrub",E,56.00,-,56.00,-,56.00
204.0,"Mesa-mint, Otay",E,272.00,-,272.00,-,272.00
211.0,"Mesa-mint, San Diego",E,272.00,-,272.00,-,272.00
897.0,"Mint, Garrett's (=scrub, in part)",E,56.00,-,56.00,-,56.00
1097.0,"Mint, Lakela's",E,0.60,-,0.60,-,0.60
897.0,"Mint, scrub",E,56.00,-,56.00,-,56.00
928.0,"Morning-glory, Stebbins'",E,-,110.00,110.00,-,110.00
897.0,"Mustard, Carter's",E,56.00,-,56.00,-,56.00
147.0,"Orchid, eastern prairie fringed",T,-,-,-,30.00,30.00
778.0,"Pawpaw, four-petal",E,0.60,-,0.60,-,0.60
598.0,Phyllostegia velutina (=Sci. name),E,556.00,-,556.00,-,556.00
797.0,"Plum, scrub",E,56.00,-,56.00,-,56.00
1061.0,"Polygala, Lewton's",E,56.00,-,56.00,-,56.00
1138.0,"Rosemary, short-leaved",E,56.00,-,56.00,-,56.00
948.0,Sandlace,E,56.00,-,56.00,-,56.00
707.0,Snakeroot,E,56.00,-,56.00,-,56.00
188.0,"Spineflower, slender-horned",E,-,414.00,414.00,-,414.00
720.0,"Spurge, Garber's",T,5.50,-,5.50,-,5.50
797.0,"Tree, pygmy fringe",E,56.00,-,56.00,-,56.00
673.0,"Whitlow-wort, papery",T,56.00,-,56.00,-,56.00
1117.0,"Wings, Pigeon",T,56.00,-,56.00,-,56.00
733.0,Wireweed,E,56.00,-,56.00,-,56.00
897.0,"Ziziphus, florida",E,56.00,-,56.00,-,56.00
,,,,,,,
,FERNS AND ALLIES,,,,,,
643.0,Asplenium fragile var. insulare (=Sci na,E,556.00,-,556.00,-,556.00
,,,,,,,
,LICHENS,,,,,,
707.0,"Cladonia, Florida perforate",E,56.00,-,56.00,-,56.00
,,,,,,,
,TOTAL,,"35,662.30","32,690.60","68,352.90","3,317.23","71,670.13"
