TABLE 3. FY 2001 REPORTED LAND ACQUISITION EXPENDITURES FOR ENDANGERED AND THREATENED SPECIES,,,,,,,,,
,,,,,,,,,
Land Rank,Species (50 CFR Part 17),Status,FWS Total ($),Other Fed ($),Fed Total ($),States Total ($),Species Total ($),TYPE,COMMENTS
71,"Gnatcatcher, coastal California (Polioptilacalifornica californica)",T,"336,000",0,"336,000",0,"336,000",BIRDS,
134,"Jay, Florida scrub (Aphelocomacoerulescens)",T,"11,217",0,"11,217",0,"11,217",BIRDS,
44,"Murrelet, marbled (Brachyramphusmarmoratus marmoratus)",T,"543,000",0,"543,000",0,"543,000",BIRDS,
118,"Owl, northern spotted (Strix occidentaliscaurina)",T,"36,100",0,"36,100",0,"36,100",BIRDS,
23,Palila (honeycreeper) (Loxioides bailleui),E,0,"1,180,000","1,180,000",0,"1,180,000",BIRDS,
9,"Pelican, brown (Pelecanus occidentalis)",E,"2,996,350",0,"2,996,350",0,"2,996,350",BIRDS,
87,"Plover, piping (Charadrius melodus)","E,T","188,000",0,"188,000",0,"188,000",BIRDS,
113,"Plover, western snowy (Charadriusalexandrinus nivosus)",T,"63,100",0,"63,100",0,"63,100",BIRDS,
45,"Prairie-chicken, Attwater's greater(Tympanuchus cupido attwateri)",E,"517,916",0,"517,916",0,"517,916",BIRDS,
136,"Rail, Yuma clapper (Rallus longirostris yumanensis)",E,0,0,0,"1,500","1,500",BIRDS,
32,"Stork, wood (Mycteria americana)",E,"1,027,178",0,"1,027,178",0,"1,027,178",BIRDS,
5,"Vireo, black-capped (Vireo atricapilla)",E,"1,894,230",0,"1,894,230","2,127,300","4,021,530",BIRDS,
71,"Vireo, least Bell's (Vireo bellii pusillus)",E,"336,000",0,"336,000",0,"336,000",BIRDS,
4,"Warbler (=wood), golden-cheeked(Dendroica chrysoparia)",E,"1,894,231",0,"1,894,231","2,127,300","4,021,531",BIRDS,
14,"Woodpecker, red-cockaded (Picoidesborealis)",E,"820,000","983,000","1,803,000",0,"1,803,000",BIRDS,
,Birds Subtotal,,"33,097,560","3,513,260","36,610,820","4,576,900","41,187,720",,
,Birds Subtotal Verified,,"33,097,560","3,513,260","36,610,820","4,576,900","41,187,720",,
,,,,,,,,,
108,"Lizard, blunt-nosed leopard (Gambeliasilus)",E,"81,400",0,"81,400",0,"81,400",AMPHIBIANS,
12,"Lizard, Coachella Valley fringe-toed (Umainornata)",T,"2,000,000",0,"2,000,000","35,000","2,035,000",AMPHIBIANS,
13,"Sea turtle, green (Chelonia mydas)","E,T","1,875,806",0,"1,875,806",0,"1,875,806",AMPHIBIANS,
38,"Sea turtle, hawksbill (Eretmochelysimbricata)",E,"683,706",0,"683,706",0,"683,706",AMPHIBIANS,
47,"Sea turtle, Kemp's ridley (Lepidochelyskempii)",E,"430,556",0,"430,556",0,"430,556",AMPHIBIANS,
81,"Sea turtle, leatherback (Dermochelyscoriacea)",E,"325,350",0,"325,350",0,"325,350",AMPHIBIANS,
15,"Sea turtle, loggerhead (Caretta caretta)",T,"1,769,558",0,"1,769,558",0,"1,769,558",AMPHIBIANS,
147,"Skink, sand (Neoseps reynoldsi)",T,213,0,213,0,213,AMPHIBIANS,
50,"Snake, Atlantic salt marsh (Nerodia clarkiitaeniata)",T,"394,456",0,"394,456",0,"394,456",AMPHIBIANS,
96,"Snake, eastern indigo (Drymarchon coraiscouperi)",T,"111,939",0,"111,939",0,"111,939",AMPHIBIANS,
102,"Snake, giant garter (Thamnophis gigas)",T,"105,100",0,"105,100",0,"105,100",AMPHIBIANS,
3,"Tortoise, desert (Gopherus agassizii)",T,0,"12,132,000","12,132,000","657,000","12,789,000",AMPHIBIANS,
20,"Tortoise, gopher (Gopherus polyphemus)",T,"832,000","486,500","1,318,500",0,"1,318,500",AMPHIBIANS,
110,"Turtle, bog (=Muhlenberg) (Clemmysmuhlenbergii)",T,0,0,0,"80,000","80,000",AMPHIBIANS,
131,"Turtle, ringed map (Graptemys oculifera)",T,"12,000",0,"12,000",0,"12,000",AMPHIBIANS,
,,,,,,,,,
34,"Frog, California red-legged (Rana auroradraytonii)",T,"827,000",0,"827,000",0,"827,000",AMPHIBIANS,
46,"Salamander, California tiger (Ambystomacaliforniense)",E,"491,000",0,"491,000",0,"491,000",AMPHIBIANS,
84,"Salamander, Santa Cruz long-toed(Ambystoma macrodactylum croceum)",E,"250,000",0,"250,000",0,"250,000",AMPHIBIANS,
71,"Toad, arroyo (=arroyo southwestern) (Bufocalifornicus (=microscaphus))",E,"336,000",0,"336,000",0,"336,000",AMPHIBIANS,
,Amphibians Subtotal,,"1,904,000",0,"1,904,000",0,"1,904,000",AMPHIBIANS,
,Amphibians Subtotal Verified,,"1,904,000",0,"1,904,000",0,"1,904,000",,Why are only the last 4 entries tallied?
,,,,,,,,,
111,"Darter, watercress (Etheostoma nuchale)",E,"77,000",0,"77,000",0,"77,000",FISHES,
121,"Goby, tidewater (Eucyclogobius newberryi)",E,"27,000",0,"27,000",0,"27,000",FISHES,
128,"Pupfish, Owens (Cyprinodon radiosus)",E,0,"15,000","15,000",0,"15,000",FISHES,
53,"Salmon, Atlantic Gulf of Maine Atlantic Salmon DPS (Salmo salar)",E,0,0,0,"369,400","369,400",FISHES,
92,"Salmon, chinookfall Snake R. (Oncorhynchus (=Salmo)tshawytscha)",T,0,"126,000","126,000",0,"126,000",FISHES,
92,"Salmon, chinookspring/summer Snake R. (Oncorhynchus(=Salmo) tshawytscha)",T,0,"126,000","126,000",0,"126,000",FISHES,
125,"Salmon, chinookwinter Sacramento R. (Oncorhynchus(=Salmo) tshawytscha)",E,"25,400",0,"25,400",0,"25,400",FISHES,
37,"Salmon, chinookPuget Sound (Oncorhynchus (=Salmo)tshawytscha)",T,0,"126,000","126,000","569,000","695,000",FISHES,
92,"Salmon, chinooklower Columbia R. (Oncorhynchus(=Salmo) tshawytscha)",T,0,"126,000","126,000",0,"126,000",FISHES,
91,"Salmon, chinookspring upper Columbia R. (Oncorhynchus(=Salmo) tshawytscha)",T,"25,400","127,000","152,400",0,"152,400",FISHES,
89,"Salmon, chumColumbia R. (Oncorhynchus (=Salmo) keta)",T,0,0,0,"174,600","174,600",FISHES,
114,"Salmon, chumsummer-run Hood Canal (Oncorhynchus(=Salmo) keta)",T,0,"63,000","63,000",0,"63,000",FISHES,
121,"Salmon, cohoOR, CA pop. (Oncorhynchus (=Salmo)kisutch)",T,"27,000",0,"27,000",0,"27,000",FISHES,
114,"Salmon, sockeyeU.S.A. (Snake River, ID stock whereverfound. (Oncorhynchus (=Salmo) nerka)",E,0,"63,000","63,000",0,"63,000",FISHES,
128,"Shiner, Pecos bluntnose (Notropis simuspecosensis)",T,0,"15,000","15,000",0,"15,000",FISHES,
24,"Spinedace, Little Colorado (Lepidomedavittata)",T,0,0,0,"1,143,500","1,143,500",FISHES,
28,"Splittail, Sacramento (Pogonichthysmacrolepidotus)",T,"1,072,100",0,"1,072,100",0,"1,072,100",FISHES,
35,"SteelheadSnake R. Basin (Oncorhynchus (=Salmo)mykiss)",T,0,"105,000","105,000","664,400","769,400",FISHES,
103,"Steelheadcentral CA coast (Oncorhynchus (=Salmo)mykiss)",T,0,"105,000","105,000",0,"105,000",FISHES,
103,"Steelheadlower Columbia R. (Oncorhynchus(=Salmo) mykiss)",T,0,"105,000","105,000",0,"105,000",FISHES,
103,"Steelheadupper Columbia R. Basin (Oncorhynchus(=Salmo) mykiss)",E,0,"105,000","105,000",0,"105,000",FISHES,
112,"Steelheadupper Willamette R. (Oncorhynchus(=Salmo) mykiss)",T,0,"76,303","76,303",0,"76,303",FISHES,
121,"Stickleback, unarmored threespine(Gasterosteus aculeatus williamsoni)",E,"27,000",0,"27,000",0,"27,000",FISHES,
131,"Sturgeon, gulf (Acipenser oxyrinchusdesotoi)",T,"12,000",0,"12,000",0,"12,000",FISHES,
19,"Sturgeon, pallid (Scaphirhynchus albus)",E,0,"1,322,000","1,322,000",0,"1,322,000",FISHES,
82,"Sucker, Lost River (Deltistes luxatus)",E,"222,700","68,130","290,830",0,"290,830",FISHES,
82,"Sucker, shortnose (Chasmistesbrevirostris)",E,"222,700","68,130","290,830",0,"290,830",FISHES,
16,"Trout, bull (Salvelinus confluentus)",T,"506,900","126,000","632,900","1,049,600","1,682,500",FISHES,
,Fishes Subtotal,,"2,245,200","2,867,563","5,112,763","3,970,500","9,083,263",,
,Fishes Subtotal Verified,,"2,245,200","2,867,563","5,112,763","3,970,500","9,083,263",,
,,,,,,,,,
135,"Pocketbook, fat (Potamilus capax)",E,"3,000",0,"3,000",0,"3,000",CLAMS,
131,"Wedgemussel, dwarf (Alasmidontaheterodon)",E,0,0,0,"12,000","12,000",CLAMS,
,Clams Subtotal,,"3,000",0,"3,000","12,000","15,000",,
,Clams Subtotal Verified,,"3,000",0,"3,000","12,000","15,000",,
,,,,,,,,,
25,"Snail, Morro shoulderband (=Banded dune)(Helminthoglypta walkeriana)",E,0,"94,000","94,000","1,030,000","1,124,000",SNAILS,
97,"Snail, Stock Island tree (Orthalicus reses(not incl. nesodryas))",T,"111,724",0,"111,724",0,"111,724",SNAILS,
33,"Snails, Oahu tree (Achatinella spp.)",E,"848,690",0,"848,690",0,"848,690",SNAILS,
,Snails Subtotal,,"960,414","94,000","1,054,414","1,030,000","2,084,414",,
,Snails Subtotal Verified,,"960,414","94,000","1,054,414","1,030,000","2,084,414",,
,,,,,,,,,
27,"Beetle, valley elderberry longhorn(Desmocerus californicus dimorphus)",T,"1,096,000",0,"1,096,000",0,"1,096,000",INSECTS,
71,"Butterfly, Quino checkerspot (Euphydryaseditha quino (=E. e. wrighti))",E,"336,000",0,"336,000",0,"336,000",INSECTS,
,Insects Subtotal,,"1,432,000",0,"1,432,000",0,"1,432,000",,
,Insects Subtotal Verified,,"1,432,000",0,"1,432,000",0,"1,432,000",,
,,,,,,,,,
28,"Fairy shrimp, Conservancy (Branchinectaconservatio)",E,"1,072,100",0,"1,072,100",0,"1,072,100",CRUSTACEANS,
28,"Fairy shrimp, longhorn (Branchinectalongiantenna)",E,"1,072,100",0,"1,072,100",0,"1,072,100",CRUSTACEANS,
71,"Fairy shrimp, Riverside (Streptocephaluswoottoni)",E,"336,000",0,"336,000",0,"336,000",CRUSTACEANS,
71,"Fairy shrimp, San Diego (Branchinectasandiegonensis)",E,"336,000",0,"336,000",0,"336,000",CRUSTACEANS,
17,"Fairy shrimp, vernal pool (Branchinectalynchi)",T,"1,072,100","562,500","1,634,600",0,"1,634,600",CRUSTACEANS,
21,"Tadpole shrimp, vernal pool (Lepiduruspackardi)",E,"1,072,100","160,000","1,232,100",0,"1,232,100",CRUSTACEANS,
,Crustaceans Subtotal,,"4,960,400","722,500","5,682,900",0,"5,682,900",CRUSTACEANS,
,Crustaceans Subtotal Verified,,"4,960,400","722,500","5,682,900",0,"5,682,900",,
,,,,,,,,,
54,Aupaka (Isodendrion laurifolium),E,"355,045",0,"355,045",0,"355,045",,
116,"Bedstraw, El Dorado (Galium californicumssp. sierrae)",E,0,"62,500","62,500",0,"62,500",,
126,"Bird's beak, palmate-bracted (Cordylanthuspalmatus)",E,"23,800",0,"23,800",0,"23,800",,
138,"Blazingstar, scrub (Liatris ohlingerae)",E,217,0,217,0,217,,
138,"Bonamia, Florida (Bonamia grandiflora)",T,217,0,217,0,217,,
41,"Brodiaea, thread-leaved (Brodiaea filifolia)",T,0,0,0,"560,000","560,000",,
138,"Buckwheat, scrub (Eriogonum longifoliumvar. gnaphalifolium)",T,217,0,217,0,217,,
51,"Butterweed, Layne's (Senecio layneae)",T,0,"385,500","385,500",0,"385,500",,
71,"Button-celery, San Diego (Eryngiumaristulatum var. parishii)",E,"336,000",0,"336,000",0,"336,000",,
98,"Cactus, Key tree (Pilosocereus robinii)",E,"111,722",0,"111,722",0,"111,722",,
51,"Ceanothus, Pine Hill (Ceanothus roderickii)",E,0,"385,500","385,500",0,"385,500",,
88,"Checker-mallow, Keck's (Sidalcea keckii)",E,0,"184,500","184,500",0,"184,500",,
41,"Crownscale, San Jacinto Valley (Atriplexcoronata var. notatior)",E,0,0,0,"560,000","560,000",,
11,"Daisy, Willamette (Erigeron decumbens var.decumbens)",E,0,"2,500,000","2,500,000",0,"2,500,000",,
116,"Flannelbush, Pine Hill (Fremontodendroncalifornicum ssp. decumbens)",E,0,"62,500","62,500",0,"62,500",,
138,"Fringe-tree, pygmy (Chionanthuspygmaeus)",E,217,0,217,0,217,,
54,Haha (Cyanea acuminata),E,"355,045",0,"355,045",0,"355,045",,
54,Haha (Cyanea humboldtiana),E,"355,045",0,"355,045",0,"355,045",,
54,Haha (Cyanea koolauensis),E,"355,045",0,"355,045",0,"355,045",,
54,Ha`iwale (Cyrtandra subumbellata),E,"355,045",0,"355,045",0,"355,045",,
54,Ha`iwale (Cyrtandra viridiflora),E,"355,045",0,"355,045",0,"355,045",,
127,"Iris, dwarf lake (Iris lacustris)",T,0,0,0,"15,100","15,100",,
36,"Ladies'-tresses, Ute (Spiranthes diluvialis)",T,0,"764,000","764,000",0,"764,000",,
121,"Layia, beach (Layia carnosa)",E,"27,000",0,"27,000",0,"27,000",,
107,"Manzanita, Ione (Arctostaphylos myrtifolia)",T,0,"94,000","94,000",0,"94,000",,
71,"Mesa-mint, Otay (Pogogyne nudiuscula)",E,"336,000",0,"336,000",0,"336,000",,
71,"Mesa-mint, San Diego (Pogogyne abramsii)",E,"336,000",0,"336,000",0,"336,000",,
119,"Milk-vetch, Coachella Valley (Astragaluslentiginosus var. coachellae)",E,0,0,0,"35,000","35,000",,
138,"Mint, Garrett's (Dicerandra christmanii)",E,217,0,217,0,217,,
31,"Mountain balm, Indian Knob (Eriodictyonaltissimum)",E,0,0,0,"1,030,000","1,030,000",,
54,Nanu (Gardenia mannii),E,"355,045",0,"355,045",0,"355,045",,
41,"Navarretia, spreading (Navarretia fossalis)",T,0,0,0,"560,000","560,000",,
54,Hesperomannia arborescens (=Sci name),E,"355,045",0,"355,045",0,"355,045",,
54,"Lobelia gaudichaudii ssp. koolauensis(=Sci name)",E,"355,045",0,"355,045",0,"355,045",,
54,Lobelia oahuensis (=Sci name),E,"355,045",0,"355,045",0,"355,045",,
54,Phyllostegia hirsuta (=Sci name),E,"355,045",0,"355,045",0,"355,045",,
54,Sanicula purpurea (=Sci name),E,"355,045",0,"355,045",0,"355,045",,
54,Viola oahuensis (=Sci name),E,"355,045",0,"355,045",0,"355,045",,
136,"Orchid, western prairie fringed (Platantherapraeclara)",T,0,"1,500","1,500",0,"1,500",,
71,"Orcutt grass, California (Orcuttiacalifornica)",E,"336,000",0,"336,000",0,"336,000",,
90,"Owl's-clover, fleshy (Castilleja campestrisssp. succulenta)",T,0,"160,000","160,000",0,"160,000",,
138,Pigeon wings (Clitoria fragrans),T,217,0,217,0,217,,
39,"Pitcher-plant, mountain sweet (Sarraceniarubra ssp. jonesii)",E,0,0,0,"615,000","615,000",,
138,"Plum, scrub (Prunus geniculata)",E,217,0,217,0,217,,
98,"Spurge, Garber's (Chamaesyce garberi)",T,"111,722",0,"111,722",0,"111,722",,
128,"Sunflower, Pecos (=puzzle, =paradox)(Helianthus paradoxus)",T,0,"15,000","15,000",0,"15,000",,
138,"Whitlow-wort, papery (Paronychiachartacea)",T,217,0,217,0,217,,
138,Wireweed (Polygonella basiramia),E,217,0,217,0,217,,
54,`Akoko (Chamaesyce rockii),E,"355,045",0,"355,045",0,"355,045",,
86,`Ohe`ohe (Tetraplasandra gymnocarpa),E,"190,500",0,"190,500",0,"190,500",FLOWERING PLANTS,
,Flowering Plants Subtotal,,"6,781,327","4,615,000","11,396,327","3,375,100","14,771,427",,
,Flowering Plants Subtotal Verified,,"6,781,327","4,615,000","11,396,327","3,375,100","14,771,427",,
,,,,,,,,,
54,Pteris lidgatei (=Sci name),E,"355,045",0,"355,045",0,"355,045",FERNS AND ALLIES,
54,"Wawae`iole (Lycopodium (=Phlegmariurus)nutans)",E,"355,045",0,"355,045",0,"355,045",FERNS AND ALLIES,
,Ferns and Allies Subtotal,,"710,090",0,"710,090",0,"710,090",,
,Ferns and Allies Subtotal Verified,,"710,090",0,"710,090",0,"710,090",,
,,,,,,,,,
,Subtotal,,"75,422,597","35,798,128","111,220,725","18,959,700","130,180,425",,
,Other ESA Expenses,,"44,227,545","3,075,000","47,302,545",0,"47,302,545",,
,Total,,"119,650,142","38,873,128","158,523,270","18,959,700","177,482,970",,
,,,,,,,,,
,Subtotal Verified,,"75,422,597","35,798,128","111,220,725","18,959,700","130,180,425",,
,Other ESA Expenses Verified,,,,,,,,
,Total Verified,,,,,,,,
